date,nb_entries
2021-06-01,398
2021-06-02,429
2021-06-03,454
2021-06-04,437
2021-06-05,744
2021-06-06,831
2021-06-07,450
2021-06-08,416
2021-06-09,478
2021-06-10,542
2021-06-11,555
2021-06-12,871
2021-06-13,1007
2021-06-14,579
2021-06-15,524
2021-06-16,570
2021-06-17,595
2021-06-18,627
2021-06-19,991
2021-06-20,1066
2021-06-21,650
2021-06-22,635
2021-06-23,679
2021-06-24,695
2021-06-25,683
2021-06-26,981
2021-06-27,1046
2021-06-28,655
2021-06-29,618
2021-06-30,638
2021-07-01,589
2021-07-02,620
2021-07-03,914
2021-07-04,1031
2021-07-05,677
2021-07-06,668
2021-07-07,767
2021-07-08,765
2021-07-09,704
2021-07-10,932
2021-07-11,1123
2021-07-12,830
2021-07-13,798
2021-07-14,753
2021-07-15,816
2021-07-16,819
2021-07-17,1036
2021-07-18,1080
2021-07-19,700
2021-07-20,759
2021-07-21,825
2021-07-22,850
2021-07-23,786
2021-07-24,961
2021-07-25,1025
2021-07-26,769
2021-07-27,764
2021-07-28,818
2021-07-29,816
2021-07-30,725
2021-07-31,808
2021-08-01,861
2021-08-02,687
2021-08-03,735
2021-08-04,812
2021-08-05,836
2021-08-06,817
2021-08-07,928
2021-08-08,934
2021-08-09,793
2021-08-10,820
2021-08-11,879
2021-08-12,896
2021-08-13,865
2021-08-14,961
2021-08-15,945
2021-08-16,800
2021-08-17,753
2021-08-18,787
2021-08-19,815
2021-08-20,780
2021-08-21,891
2021-08-22,920
2021-08-23,635
2021-08-24,672
2021-08-25,741
2021-08-26,783
2021-08-27,756
2021-08-28,852
2021-08-29,895
2021-08-30,534
2021-08-31,527
2021-09-01,490
2021-09-02,473
2021-09-03,503
2021-09-04,784
2021-09-05,887
2021-09-06,555
2021-09-07,699
2021-09-08,759
2021-09-09,794
2021-09-10,733
2021-09-11,1061
2021-09-12,1159
2021-09-13,659
2021-09-14,725
2021-09-15,819
2021-09-16,822
2021-09-17,795
2021-09-18,1174
2021-09-19,1351
2021-09-20,762
2021-09-21,823
2021-09-22,935
