date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
2021-06-01,368,30,172,12
2021-06-02,395,34,169,4
2021-06-03,428,26,170,13
2021-06-04,412,25,424,30
2021-06-05,695,49,187,16
2021-06-06,772,59,77,8
2021-06-07,409,41,185,10
2021-06-08,385,31,198,22
2021-06-09,442,36,223,19
2021-06-10,498,43,216,14
2021-06-11,508,46,497,29
2021-06-12,812,58,238,22
2021-06-13,934,72,100,12
2021-06-14,531,47,229,17
2021-06-15,477,47,228,13
2021-06-16,527,43,258,16
2021-06-17,558,37,265,15
2021-06-18,584,42,573,38
2021-06-19,927,64,222,15
2021-06-20,1003,63,122,11
2021-06-21,604,46,277,24
2021-06-22,588,46,272,16
2021-06-23,632,47,279,11
2021-06-24,653,42,292,33
2021-06-25,631,52,529,43
2021-06-26,903,78,228,15
2021-06-27,968,77,128,12
2021-06-28,606,49,303,16
2021-06-29,572,44,247,17
2021-06-30,598,40,239,19
2021-07-01,549,39,256,29
2021-07-02,563,54,514,37
2021-07-03,838,71,246,15
2021-07-04,939,81,138,12
2021-07-05,620,57,312,13
2021-07-06,627,41,325,25
2021-07-07,714,53,288,17
2021-07-08,713,49,257,23
2021-07-09,658,45,471,28
2021-07-10,868,59,327,21
2021-07-11,1043,70,209,10
2021-07-12,773,52,266,16
2021-07-13,739,55,240,19
2021-07-14,688,60,247,12
2021-07-15,758,53,261,23
2021-07-16,760,54,394,17
2021-07-17,963,63,242,20
2021-07-18,1000,70,143,6
2021-07-19,649,46,308,20
2021-07-20,709,47,272,19
2021-07-21,766,56,263,21
2021-07-22,786,62,245,21
2021-07-23,730,55,377,25
2021-07-24,892,65,234,12
2021-07-25,951,69,165,13
2021-07-26,705,62,235,17
2021-07-27,700,62,239,13
2021-07-28,756,60,190,12
2021-07-29,756,59,177,17
2021-07-30,666,58,299,13
2021-07-31,745,58,233,12
2021-08-01,796,57,157,14
2021-08-02,633,52,231,15
2021-08-03,673,60,196,15
2021-08-04,747,62,161,8
2021-08-05,774,59,183,8
2021-08-06,756,56,321,16
2021-08-07,854,66,188,13
2021-08-08,865,62,169,12
2021-08-09,730,58,244,10
2021-08-10,761,54,217,7
2021-08-11,824,50,181,9
2021-08-12,837,52,178,11
2021-08-13,805,52,310,28
2021-08-14,882,68,165,7
2021-08-15,872,61,217,14
2021-08-16,736,56,233,18
2021-08-17,701,49,190,13
2021-08-18,730,54,190,10
2021-08-19,762,50,182,15
2021-08-20,728,49,304,19
2021-08-21,833,54,195,20
2021-08-22,853,65,133,12
2021-08-23,585,49,237,17
2021-08-24,616,55,231,14
2021-08-25,690,49,227,15
2021-08-26,721,56,195,25
2021-08-27,689,61,385,19
2021-08-28,791,54,231,7
2021-08-29,835,51,121,5
2021-08-30,496,35,227,18
2021-08-31,483,41,184,12
2021-09-01,452,37,179,12
2021-09-02,439,34,193,10
2021-09-03,467,35,445,27
2021-09-04,731,52,228,14
2021-09-05,828,58,128,10
2021-09-06,515,40,369,20
2021-09-07,657,42,312,21
2021-09-08,716,43,285,15
2021-09-09,753,41,302,16
2021-09-10,688,45,606,37
2021-09-11,1000,60,233,17
2021-09-12,1085,72,146,10
2021-09-13,613,46,377,26
2021-09-14,677,48,350,19
2021-09-15,772,47,306,19
2021-09-16,779,42,335,28
2021-09-17,743,51,701,31
2021-09-18,1121,53,349,13
2021-09-19,1291,58,174,19
2021-09-20,713,48,462,24
2021-09-21,774,48,407,28
2021-09-22,880,54,422,22
2021-09-23,940,61,416,20
2021-09-24,923,58,788,38
2021-09-25,1279,73,358,18
2021-09-26,1419,81,154,4
2021-09-27,753,40,420,16
2021-09-28,730,36,378,17
2021-09-29,805,37,371,19
2021-09-30,842,38,348,31
2021-10-01,763,44,674,28
2021-10-02,1087,53,278,15
2021-10-03,1192,64,129,10
2021-10-04,634,39,385,38
2021-10-05,681,52,363,20
2021-10-06,774,51,356,24
2021-10-07,813,49,376,23
2021-10-08,787,52,680,47
2021-10-09,1112,73,279,10
2021-10-10,1200,71,141,12
2021-10-11,680,44,388,16
2021-10-12,711,44,426,31
2021-10-13,828,55,393,25
2021-10-14,901,51,414,27
2021-10-15,874,52,659,28
2021-10-16,1110,58,323,15
2021-10-17,1238,66,164,8
2021-10-18,742,36,435,23
2021-10-19,763,47,417,20
2021-10-20,870,45,368,17
2021-10-21,864,44,408,19
2021-10-22,818,44,647,26
2021-10-23,1101,46,405,31
2021-10-24,1340,66,302,21
2021-10-25,1060,53,419,18
2021-10-26,1090,52,387,23
2021-10-27,1168,51,375,26
2021-10-28,1179,61,362,25
2021-10-29,1163,62,723,50
2021-10-30,1547,96,486,19
2021-10-31,1798,100,209,14
2021-11-01,1611,86,194,9
2021-11-02,1005,52,390,15
2021-11-03,1022,54,350,17
2021-11-04,1072,52,345,16
2021-11-05,1027,46,467,18
2021-11-06,1069,47,223,19
