date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
2021-06-01,87,9,36,4
2021-06-02,100,11,40,1
2021-06-03,120,9,33,2
2021-06-04,114,9,75,6
2021-06-05,157,13,37,3
2021-06-06,175,15,22,1
2021-06-07,105,13,32,2
2021-06-08,89,8,36,8
2021-06-09,108,16,46,4
2021-06-10,124,19,51,6
2021-06-11,141,20,108,9
2021-06-12,218,23,57,11
2021-06-13,240,30,20,0
2021-06-14,145,15,33,4
2021-06-15,117,14,40,6
2021-06-16,120,14,47,4
2021-06-17,125,11,71,3
2021-06-18,162,11,114,7
2021-06-19,236,16,49,1
2021-06-20,244,16,32,2
2021-06-21,160,12,49,5
2021-06-22,135,10,55,6
2021-06-23,142,12,59,2
2021-06-24,149,11,72,8
2021-06-25,162,14,98,7
2021-06-26,214,20,38,2
2021-06-27,215,17,32,4
2021-06-28,159,11,48,3
2021-06-29,129,11,54,2
2021-06-30,144,11,48,4
2021-07-01,123,11,62,5
2021-07-02,137,15,107,12
2021-07-03,207,22,43,3
2021-07-04,218,24,32,3
2021-07-05,164,19,55,2
2021-07-06,151,11,57,8
2021-07-07,162,18,54,1
2021-07-08,169,12,64,4
2021-07-09,173,7,81,2
2021-07-10,215,8,70,5
2021-07-11,255,11,44,2
2021-07-12,219,10,47,2
2021-07-13,201,11,38,5
2021-07-14,187,13,47,1
2021-07-15,190,10,50,6
2021-07-16,194,14,66,4
2021-07-17,231,17,32,1
2021-07-18,227,15,26,3
2021-07-19,150,9,59,3
2021-07-20,164,10,41,4
2021-07-21,177,13,47,8
2021-07-22,177,16,51,4
2021-07-23,179,13,73,3
2021-07-24,206,11,35,2
2021-07-25,211,13,32,3
2021-07-26,171,11,37,2
2021-07-27,157,11,48,4
2021-07-28,166,9,39,7
2021-07-29,164,13,37,5
2021-07-30,142,14,55,2
2021-07-31,165,12,37,0
2021-08-01,170,8,20,1
2021-08-02,132,6,49,2
2021-08-03,147,7,44,1
2021-08-04,168,6,35,3
2021-08-05,182,8,34,3
2021-08-06,177,9,55,6
