date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
2021-06-01,6,0,5,0
2021-06-02,10,0,13,0
2021-06-03,15,0,6,0
2021-06-04,18,0,15,0
2021-06-05,18,0,5,1
2021-06-06,21,1,3,0
2021-06-07,8,0,4,2
2021-06-08,5,2,8,0
2021-06-09,7,1,7,0
2021-06-10,8,0,6,0
2021-06-11,5,0,16,0
2021-06-12,14,0,2,0
2021-06-13,15,0,0,0
2021-06-14,8,0,3,0
2021-06-15,5,0,8,0
2021-06-16,8,0,14,1
2021-06-17,12,1,9,0
2021-06-18,10,0,19,0
2021-06-19,17,0,4,0
2021-06-20,19,0,3,0
2021-06-21,7,0,10,0
2021-06-22,8,0,9,1
2021-06-23,11,1,10,1
2021-06-24,14,1,5,0
2021-06-25,8,0,24,1
2021-06-26,22,1,4,0
2021-06-27,24,1,2,0
2021-06-28,10,0,10,0
2021-06-29,7,0,7,0
2021-06-30,10,0,6,1
2021-07-01,10,0,13,0
2021-07-02,14,0,11,0
2021-07-03,16,0,4,0
2021-07-04,18,0,1,0
2021-07-05,10,0,10,0
2021-07-06,13,0,8,1
2021-07-07,12,0,10,1
2021-07-08,13,1,5,0
2021-07-09,9,0,13,0
2021-07-10,13,0,3,0
2021-07-11,15,0,2,0
2021-07-12,9,0,11,2
2021-07-13,13,2,9,0
2021-07-14,12,0,2,0
2021-07-15,10,0,6,0
2021-07-16,9,0,10,0
2021-07-17,15,0,2,0
2021-07-18,16,0,0,0
2021-07-19,7,0,2,0
2021-07-20,4,0,5,0
2021-07-21,6,0,9,1
2021-07-22,10,0,7,0
2021-07-23,8,0,3,0
2021-07-24,9,0,1,1
2021-07-25,8,1,1,0
2021-07-26,7,0,7,0
2021-07-27,8,0,4,0
2021-07-28,9,0,7,0
2021-07-29,10,0,2,0
2021-07-30,10,0,7,1
2021-07-31,12,1,4,0
2021-08-01,13,1,1,1
2021-08-02,8,2,4,0
2021-08-03,6,1,8,0
2021-08-04,9,1,3,0
2021-08-05,8,0,4,0
2021-08-06,7,0,7,0
2021-08-07,12,0,6,0
