date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl,hourly rate,WE package,1 week package,1 month package,other package,2 weeks package,turnover,discount,booking_fees,lead_time_hours,standard,premium,6H à 9H,15H à 18H,9H à 12H,12H à 15H,0H à 6H,18H à 24H,+24h,06:00 24:00,00:30 06:00,00:00 00:30,strike,holidays,vacation
2021-06-01,368,30,172,12,115,14,176,53,5,5,6672.1,171.0,25.1,100.263407306763,351,17,112,67,90,59,22,18,365,3,0,0,0,0,0
2021-06-02,395,34,169,4,160,1,171,55,3,5,5601.9,140.04,36.1,154.0391923570967,381,14,122,67,96,68,24,18,395,0,0,0,0,0,0
2021-06-03,428,26,170,13,178,0,189,52,4,5,6409.8,207.81,51.3,124.98649210686064,414,14,131,75,105,72,26,19,428,0,0,0,0,0,0
2021-06-04,412,25,424,30,150,0,205,48,3,6,14215.1,1048.7,139.9,151.52481093979412,402,10,119,83,94,67,28,21,411,1,0,0,0,0,0
2021-06-05,695,49,187,16,204,236,199,45,3,8,5812.1,355.23,53.0,170.62081417624492,680,15,134,220,117,133,28,63,694,1,0,0,0,0,0
2021-06-06,772,59,77,8,218,304,195,45,2,8,3186.1,48.29,45.0,138.55718954248337,755,17,193,217,138,128,32,64,768,4,0,0,0,0,0
2021-06-07,409,41,185,10,91,92,166,47,5,8,7512.9,202.02,114.5,147.98132051282022,398,11,100,86,98,78,21,26,406,3,0,0,0,0,0
2021-06-08,385,31,198,22,137,12,179,46,5,6,7209.6,207.68,103.5,157.8075757575755,368,17,111,80,85,74,13,22,382,3,0,0,0,0,0
2021-06-09,442,36,223,19,193,1,192,47,3,6,7433.4,336.38,119.5,184.54320821854884,423,19,137,76,96,97,19,17,440,2,0,0,0,0,0
2021-06-10,498,43,216,14,230,0,209,47,5,7,8731.8,375.3,81.7,136.2513007246374,474,24,143,96,106,105,23,25,495,3,0,0,0,0,0
2021-06-11,508,46,497,29,203,0,249,47,3,6,17002.6,985.56,204.6,153.54998838191773,488,20,126,96,119,114,22,31,503,5,0,0,0,0,0
2021-06-12,812,58,238,22,261,251,243,48,2,7,7784.3,382.38,122.1,161.87968589743556,786,26,152,215,164,194,21,66,810,2,0,0,0,0,0
2021-06-13,934,72,100,12,290,342,245,47,2,8,4590.8,99.39,62.1,161.61460813492036,902,32,229,220,193,192,36,64,928,6,0,0,0,0,0
2021-06-14,531,47,229,17,122,124,225,52,1,7,9482.6,352.14,137.0,145.05582542908732,514,17,142,94,126,114,25,30,528,3,0,0,0,0,0
2021-06-15,477,47,228,13,173,16,221,55,3,9,7721.2,198.66,104.5,146.79668165052996,462,15,157,77,104,94,27,18,476,1,0,0,0,0,0
2021-06-16,527,43,258,16,237,4,220,55,2,9,9099.9,282.44,156.5,156.97917274939147,504,23,159,86,119,110,32,21,522,4,1,0,0,0,0
2021-06-17,558,37,265,15,257,0,233,54,3,11,9875.1,418.38,169.5,170.48701190476163,531,27,173,105,121,114,25,20,555,3,0,0,0,0,0
2021-06-18,584,42,573,38,245,0,266,53,5,15,19506.0,1102.53,249.3,160.11603473358764,556,28,169,120,126,106,37,26,575,9,0,0,0,0,0
2021-06-19,927,64,222,15,293,294,262,55,5,18,7974.2,329.94,86.6,212.1008251289261,895,32,181,254,172,183,46,91,920,7,0,0,0,0,0
2021-06-20,1003,63,122,11,277,376,267,55,7,21,5198.7,181.76,82.0,152.606639515455,970,33,235,256,183,188,48,93,999,4,0,0,0,0,0
2021-06-21,604,46,277,24,142,132,245,54,9,22,11163.7,439.38,160.0,165.69071613141355,580,24,147,137,137,109,34,40,601,3,0,0,0,0,0
2021-06-22,588,46,272,16,245,22,235,54,9,23,9313.2,283.17,133.1,185.15412422839483,557,31,184,95,129,101,52,27,582,6,0,0,0,0,0
2021-06-23,632,47,279,11,315,1,225,55,11,25,10244.2,447.17,155.0,162.60607375478898,595,37,200,107,114,121,59,31,629,3,0,0,0,0,0
2021-06-24,653,42,292,33,316,0,239,59,13,26,10703.3,434.97,155.0,198.999416239316,613,40,201,121,121,128,51,31,651,2,0,0,0,0,0
2021-06-25,631,52,529,43,279,0,257,55,14,26,17167.8,1124.28,208.6,193.12802933177903,594,37,185,116,137,113,49,31,628,3,0,0,0,0,0
2021-06-26,903,78,228,15,298,268,248,55,10,24,7105.6,330.54,102.5,200.91522633744827,864,39,191,242,152,201,44,73,895,8,0,0,0,0,0
2021-06-27,968,77,128,12,271,362,243,57,10,25,5567.4,123.99,78.5,187.71527976190444,929,39,260,241,153,189,49,76,961,7,0,0,0,0,0
2021-06-28,606,49,303,16,149,148,217,62,7,23,12001.5,852.13,184.7,156.22015499825815,580,26,177,126,113,116,37,37,601,5,0,0,0,0,0
2021-06-29,572,44,247,17,230,20,231,66,6,19,8064.7,972.75,90.0,125.8857428451176,539,33,175,101,104,110,56,26,571,1,0,0,0,0,0
2021-06-30,598,40,239,19,282,6,225,64,5,16,9127.8,615.83,99.2,165.58538113695064,577,21,197,98,117,108,46,32,595,3,0,0,0,0,0
2021-07-01,549,39,256,29,249,0,223,60,3,14,9812.0,772.46,169.2,174.00400584795298,540,9,177,89,112,97,36,38,543,6,0,0,0,0,0
2021-07-02,563,54,514,37,238,0,253,58,3,11,18435.02,1830.54,178.3,177.67989514014894,552,11,169,110,111,90,42,41,554,9,0,0,0,0,0
2021-07-03,838,71,246,15,270,234,255,62,5,12,8853.0,813.58,77.1,180.28527458492948,825,13,168,221,145,172,47,85,832,6,0,0,0,0,0
2021-07-04,939,81,138,12,268,332,258,65,4,12,6444.92,529.42,95.6,199.73239444444425,927,12,238,225,158,188,47,83,933,6,0,0,0,0,0
2021-07-05,620,57,312,13,146,139,255,65,6,9,12660.8,1021.79,212.6,142.00292136752108,609,11,150,143,120,121,41,45,620,0,0,0,0,0,0
2021-07-06,627,41,325,25,242,26,275,63,11,10,11855.52,832.57,245.5,161.10992857142827,608,19,187,112,121,118,44,45,618,9,0,0,0,0,1
2021-07-07,714,53,288,17,331,7,283,67,13,13,10021.5,681.19,167.0,178.16626411657526,690,24,217,118,135,129,64,51,706,8,0,0,0,0,1
2021-07-08,713,49,257,23,333,2,283,71,11,13,9666.8,668.1,143.6,157.83403472222193,692,21,206,123,139,129,65,51,705,8,0,0,0,0,1
2021-07-09,658,45,471,28,241,1,316,74,12,14,17388.94,1747.98,200.1,190.2989451124469,645,13,192,117,139,111,41,58,651,7,0,0,0,0,1
