date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl,hourly rate,WE package,1 week package,1 month package,other package,2 weeks package,turnover,discount,booking_fees,lead_time_hours,standard,premium,6H à 9H,15H à 18H,9H à 12H,12H à 15H,0H à 6H,18H à 24H,+24h,06:00 24:00,00:30 06:00,00:00 00:30,strike,holidays,vacation
2021-06-01,16,1,9,0,9,1,6,0,0,0,537.5,161.25,15.0,126.93376543209844,13,3,5,4,4,1,2,0,16,0,0,0,0,0,0
2021-06-02,18,1,10,0,11,0,7,0,0,0,466.8,140.04,9.0,142.4012222222219,11,7,8,3,4,1,2,0,18,0,0,0,0,0,0
2021-06-03,21,1,13,3,14,0,7,0,0,0,692.7,207.81,6.0,76.61769097222194,13,8,10,2,4,2,2,1,21,0,0,0,0,0,0
2021-06-04,22,1,38,3,12,0,10,0,0,0,1710.3,513.09,15.0,157.3957317073167,16,6,8,2,5,2,4,1,22,0,0,0,0,0,0
2021-06-05,50,4,18,0,20,23,7,0,0,0,686.1,205.83,6.0,257.3720987654316,42,8,9,15,8,7,4,7,49,1,0,0,0,0,0
2021-06-06,59,3,4,3,22,29,8,0,0,0,123.3,36.99,3.0,212.6191666666664,51,8,11,18,12,6,5,7,56,3,0,0,0,0,0
2021-06-07,20,5,14,0,7,5,8,0,0,0,639.5,191.85,12.0,174.14128968253928,16,4,4,3,8,1,3,1,20,0,0,0,0,0,0
2021-06-08,16,5,13,3,11,1,4,0,0,0,685.6,205.68,6.0,159.14128472222183,13,3,4,2,2,6,2,0,16,0,0,0,0,0,0
2021-06-09,20,4,20,3,14,0,6,0,0,0,989.6,296.88,18.0,84.64382850241522,17,3,7,3,1,7,2,0,20,0,0,0,0,0,0
2021-06-10,28,5,20,0,19,0,9,0,0,0,1251.0,375.3,6.0,136.78924999999978,21,7,9,7,1,6,4,1,28,0,0,0,0,0,0
2021-06-11,33,3,36,2,18,0,15,0,0,0,1674.4,502.32,33.0,137.5189254385962,29,4,9,7,2,8,5,2,33,0,0,0,0,0,0
