date,hourly rate,WE package,1 week package,1 month package,other package,2 weeks package
2021-06-01,115,14,176,53,5,5
2021-06-02,160,1,171,55,3,5
2021-06-03,178,0,189,52,4,5
2021-06-04,150,0,205,48,3,6
2021-06-05,204,236,199,45,3,8
2021-06-06,218,304,195,45,2,8
2021-06-07,91,92,166,47,5,8
2021-06-08,137,12,179,46,5,6
2021-06-09,193,1,192,47,3,6
2021-06-10,230,0,209,47,5,7
2021-06-11,203,0,249,47,3,6
2021-06-12,261,251,243,48,2,7
2021-06-13,290,342,245,47,2,8
2021-06-14,122,124,225,52,1,7
2021-06-15,173,16,221,55,3,9
2021-06-16,237,4,220,55,2,9
2021-06-17,257,0,233,54,3,11
2021-06-18,245,0,266,53,5,15
2021-06-19,293,294,262,55,5,18
2021-06-20,277,376,267,55,7,21
2021-06-21,142,132,245,54,9,22
2021-06-22,245,22,235,54,9,23
2021-06-23,315,1,225,55,11,25
2021-06-24,316,0,239,59,13,26
2021-06-25,279,0,257,55,14,26
2021-06-26,298,268,248,55,10,24
2021-06-27,271,362,243,57,10,25
2021-06-28,149,148,217,62,7,23
2021-06-29,230,20,231,66,6,19
2021-06-30,282,6,225,64,5,16
2021-07-01,249,0,223,60,3,14
2021-07-02,238,0,253,58,3,11
2021-07-03,270,234,255,62,5,12
2021-07-04,268,332,258,65,4,12
2021-07-05,146,139,255,65,6,9
2021-07-06,242,26,275,63,11,10
2021-07-07,331,7,283,67,13,13
2021-07-08,333,2,283,71,11,13
2021-07-09,241,1,316,74,12,14
2021-07-10,237,211,317,77,10,16
2021-07-11,271,296,358,88,12,18
2021-07-12,168,116,360,97,12,20
2021-07-13,214,26,364,102,11,22
2021-07-14,168,2,388,99,8,23
2021-07-15,197,0,424,104,10,23
2021-07-16,220,0,404,106,7,23
2021-07-17,229,180,414,107,5,28
2021-07-18,199,264,388,116,4,29
2021-07-19,102,107,290,117,4,29
2021-07-20,210,24,312,125,8,30
2021-07-21,271,2,327,124,10,32
2021-07-22,273,1,344,128,10,30
2021-07-23,206,0,342,135,16,31
2021-07-24,230,172,311,137,10,32
2021-07-25,217,257,297,142,8,30
2021-07-26,104,111,312,143,9,26
2021-07-27,150,25,340,145,15,25
2021-07-28,215,5,350,144,17,25
2021-07-29,218,3,344,150,15,26
2021-07-30,143,1,324,157,13,28
2021-07-31,159,120,276,153,12,25
2021-08-01,162,175,272,152,12,23
2021-08-02,88,73,286,156,5,25
2021-08-03,118,18,339,169,5,24
2021-08-04,166,2,378,171,5,25
2021-08-05,183,1,390,169,5,26
2021-08-06,150,1,393,176,7,29
2021-08-07,146,135,363,174,6,30
2021-08-08,122,199,334,168,8,34
2021-08-09,92,93,339,169,6,31
2021-08-10,140,29,391,165,3,33
2021-08-11,200,6,415,165,3,35
2021-08-12,205,5,425,160,5,37
2021-08-13,182,2,424,157,5,35
2021-08-14,158,130,394,157,4,39
2021-08-15,130,185,364,150,4,39
2021-08-16,110,94,337,145,10,40
2021-08-17,128,24,369,134,3,43
2021-08-18,182,4,367,129,3,45
2021-08-19,206,1,383,124,3,45
2021-08-20,168,1,393,119,5,42
2021-08-21,169,139,364,116,5,40
2021-08-22,159,204,332,111,6,41
2021-08-23,82,79,282,103,3,36
2021-08-24,151,17,302,101,12,33
2021-08-25,223,6,318,99,13,31
2021-08-26,254,0,329,95,13,30
2021-08-27,225,0,329,92,15,28
2021-08-28,229,159,282,89,7,25
2021-08-29,235,234,254,79,15,18
2021-08-30,99,90,209,73,9,16
2021-08-31,175,23,194,67,10,14
2021-09-01,173,0,195,64,6,14
2021-09-02,156,0,196,67,5,15
2021-09-03,167,0,208,70,7,15
2021-09-04,201,219,217,71,6,17
2021-09-05,215,303,220,67,7,16
2021-09-06,99,100,223,67,7,19
2021-09-07,270,18,267,74,8,20
2021-09-08,333,1,277,78,7,20
2021-09-09,361,1,285,79,6,21
2021-09-10,300,1,280,80,5,22
2021-09-11,321,322,247,81,4,25
2021-09-12,329,413,231,83,3,26
2021-09-13,135,132,230,86,4,26
2021-09-14,303,18,243,84,2,27
2021-09-15,402,4,241,91,7,27
2021-09-16,391,2,267,88,5,26
2021-09-17,312,1,299,89,12,30
2021-09-18,359,359,271,89,15,28
2021-09-19,398,494,269,88,14,28
2021-09-20,180,168,244,86,7,28
2021-09-21,351,22,290,83,6,22
2021-09-22,432,3,327,87,8,23
2021-09-23,482,0,344,87,5,22
2021-09-24,439,0,373,87,4,20
2021-09-25,427,407,338,82,3,22
2021-09-26,413,569,327,86,3,21
2021-09-27,166,205,268,87,8,19
2021-09-28,309,28,283,84,7,19
2021-09-29,403,6,280,86,10,20
2021-09-30,420,0,300,89,14,19
2021-10-01,341,0,310,77,17,18
2021-10-02,359,367,260,73,8,20
2021-10-03,362,485,243,74,6,22
2021-10-04,159,154,226,73,2,20
2021-10-05,302,30,243,76,7,23
2021-10-06,398,5,264,80,5,22
2021-10-07,444,2,261,77,6,23
2021-10-08,376,1,303,72,9,26
2021-10-09,371,372,265,73,5,26
2021-10-10,349,491,256,73,5,26
2021-10-11,174,160,244,74,3,25
2021-10-12,316,18,273,74,4,26
2021-10-13,440,2,278,78,6,24
2021-10-14,490,1,298,81,7,24
2021-10-15,427,1,332,83,10,21
2021-10-16,413,310,275,82,7,23
2021-10-17,405,442,279,83,6,23
2021-10-18,194,171,259,83,9,26
2021-10-19,331,31,279,88,10,24
2021-10-20,466,1,287,86,9,21
2021-10-21,437,1,308,90,8,20
2021-10-22,365,0,324,96,12,21
2021-10-23,316,306,342,103,10,24
2021-10-24,330,434,432,105,10,29
2021-10-25,225,202,488,102,15,28
2021-10-26,330,43,576,103,10,28
2021-10-27,416,8,600,102,8,34
2021-10-28,384,2,647,100,10,36
2021-10-29,272,1,746,97,12,35
2021-10-30,268,355,785,94,12,33
2021-10-31,243,628,789,94,12,32
2021-11-01,175,555,751,88,10,32
2021-11-02,108,124,646,84,14,29
2021-11-03,182,22,674,87,29,28
2021-11-04,255,6,660,89,33,29
2021-11-05,300,4,575,92,30,26
2021-11-06,252,230,458,91,15,23
2021-11-07,218,301,351,84,9,19
2021-11-08,119,99,233,84,6,19
2021-11-09,357,31,243,84,9,19
2021-11-10,373,13,305,81,6,21
2021-11-11,279,3,564,78,10,20
2021-11-12,591,1,723,83,10,19
2021-11-13,680,205,710,85,9,19
2021-11-14,538,295,666,81,10,20
2021-11-15,171,132,382,83,10,24
2021-11-16,387,32,313,81,15,23
2021-11-17,587,8,349,83,14,23
2021-11-18,603,2,369,83,14,23
2021-11-19,480,1,392,84,12,24
2021-11-20,430,347,327,89,7,24
2021-11-21,462,501,311,94,10,26
2021-11-22,210,184,295,95,5,24
2021-11-23,395,35,312,95,3,24
2021-11-24,530,7,328,98,7,24
2021-11-25,558,2,355,102,9,25
2021-11-26,528,0,403,102,11,23
2021-11-27,507,387,363,100,10,19
2021-11-28,467,555,335,96,10,19
2021-11-29,208,178,280,89,6,18
2021-11-30,378,35,289,88,11,15
2021-12-01,442,6,269,83,8,16
2021-12-02,496,2,297,82,12,15
2021-12-03,470,0,321,78,11,13
2021-12-04,491,406,310,73,9,19
2021-12-05,473,558,313,76,10,17
2021-12-06,179,193,287,76,9,18
2021-12-07,339,26,269,78,9,17
2021-12-08,471,5,277,77,7,17
2021-12-09,494,0,298,72,9,16
2021-12-10,507,0,326,70,11,15
2021-12-11,543,357,307,68,5,16
2021-12-12,509,520,295,65,4,15
2021-12-13,212,175,252,66,3,14
2021-12-14,323,29,238,67,2,12
2021-12-15,392,2,215,74,2,10
2021-12-16,357,0,216,81,2,13
2021-12-17,259,0,243,89,3,17
2021-12-18,198,150,241,100,3,20
2021-12-19,195,259,347,122,3,22
2021-12-20,157,136,405,131,1,27
2021-12-21,230,43,506,141,5,29
2021-12-22,235,12,658,153,7,35
2021-12-23,171,1,905,170,12,37
2021-12-24,312,0,1168,180,17,40
2021-12-25,491,149,1339,184,16,43
2021-12-26,406,251,1405,188,14,44
2021-12-27,191,180,1250,182,10,42
2021-12-28,221,72,1090,172,7,38
2021-12-29,244,21,888,166,8,35
2021-12-30,234,10,782,156,4,36
2021-12-31,238,6,669,152,4,32
2022-01-01,318,71,594,142,4,27
2022-01-02,185,85,428,133,5,27
2022-01-03,59,36,228,102,1,24
2022-01-04,107,6,167,89,3,18
2022-01-05,154,1,167,71,3,11
2022-01-06,155,0,169,65,3,11
2022-01-07,150,0,167,58,1,11
2022-01-08,174,182,145,56,1,11
2022-01-09,205,240,150,53,1,11
2022-01-10,102,75,131,46,1,9
2022-01-11,151,19,153,43,2,10
2022-01-12,212,2,160,43,1,9
2022-01-13,210,1,173,42,2,9
2022-01-14,209,1,183,45,5,8
2022-01-15,256,233,169,46,3,5
2022-01-16,247,298,156,43,2,3
2022-01-17,118,110,152,41,0,4
2022-01-18,166,21,175,40,4,4
2022-01-19,205,3,187,38,1,4
2022-01-20,200,2,205,38,1,5
2022-01-21,205,1,244,40,2,5
2022-01-22,273,242,225,39,1,6
2022-01-23,271,309,230,42,1,6
2022-01-24,130,90,217,47,2,9
2022-01-25,175,9,215,47,3,8
2022-01-26,236,2,210,52,4,8
2022-01-27,228,0,220,53,2,8
2022-01-28,220,0,242,52,0,9
2022-01-29,314,269,243,53,0,9
2022-01-30,325,353,241,54,0,11
2022-01-31,148,130,213,57,3,10
2022-02-01,197,16,217,57,2,10
2022-02-02,271,2,220,58,1,13
2022-02-03,266,5,230,55,0,11
2022-02-04,216,32,233,57,1,10
2022-02-05,237,404,225,63,3,12
2022-02-06,257,536,273,72,1,17
2022-02-07,154,211,286,74,0,20
2022-02-08,288,37,344,77,1,21
2022-02-09,408,9,375,75,0,24
2022-02-10,366,16,394,80,0,23
2022-02-11,277,67,415,81,0,22
2022-02-12,261,454,399,81,0,23
2022-02-13,281,578,429,90,1,23
2022-02-14,146,244,458,92,0,21
2022-02-15,261,57,503,91,0,22
2022-02-16,369,15,511,92,1,22
2022-02-17,325,20,484,101,1,22
2022-02-18,204,95,450,106,1,21
2022-02-19,179,431,364,106,0,15
2022-02-20,189,523,365,100,0,12
2022-02-21,80,217,330,96,7,9
2022-02-22,197,40,374,95,0,10
2022-02-23,269,8,378,92,0,11
2022-02-24,291,13,397,92,0,11
2022-02-25,209,94,408,89,0,10
2022-02-26,155,517,368,87,0,12
2022-02-27,175,639,364,82,0,12
2022-02-28,103,259,336,81,0,12
2022-03-01,236,41,389,78,0,13
2022-03-02,308,4,385,82,0,17
2022-03-03,304,9,386,90,0,17
2022-03-04,224,101,353,91,1,17
2022-03-05,180,560,291,96,0,16
2022-03-06,176,652,252,97,1,21
2022-03-07,98,238,235,92,10,23
2022-03-08,278,36,279,92,0,22
2022-03-09,381,9,299,90,0,21
2022-03-10,425,20,324,93,0,25
2022-03-11,309,111,325,90,5,26
2022-03-12,210,750,290,97,0,26
2022-03-13,207,879,289,96,0,26
2022-03-14,139,320,294,93,0,22
2022-03-15,352,45,343,96,0,22
2022-03-16,458,14,351,95,0,20
2022-03-17,477,13,383,92,1,19
2022-03-18,415,131,404,95,0,20
2022-03-19,326,794,378,94,0,19
2022-03-20,324,953,366,98,5,16
2022-03-21,132,339,321,97,7,19
2022-03-22,335,53,358,99,0,20
2022-03-23,439,9,362,90,0,21
2022-03-24,459,17,393,90,0,18
2022-03-25,349,163,412,93,2,18
2022-03-26,267,823,343,95,29,20
2022-03-27,266,930,318,93,1,20
2022-03-28,145,365,299,94,0,18
2022-03-29,348,38,311,93,0,18
2022-03-30,440,2,323,95,0,19
2022-03-31,458,16,340,97,0,18
2022-04-01,313,134,335,85,1,19
2022-04-02,240,775,312,87,0,15
2022-04-03,284,915,299,81,1,21
2022-04-04,166,371,297,77,0,20
2022-04-05,356,41,359,78,0,21
2022-04-06,470,6,350,79,0,22
2022-04-07,505,16,354,79,0,22
2022-04-08,333,110,347,82,4,25
2022-04-09,199,599,305,99,0,28
2022-04-10,211,729,354,114,0,38
2022-04-11,174,334,426,120,9,42
2022-04-12,397,59,559,123,2,43
2022-04-13,510,23,632,127,1,42
2022-04-14,424,21,705,126,0,44
2022-04-15,234,147,771,126,1,43
2022-04-16,163,808,794,130,0,44
2022-04-17,205,1130,882,134,0,41
2022-04-18,226,974,911,138,0,39
2022-04-19,226,175,878,139,1,32
2022-04-20,426,14,785,141,0,31
2022-04-21,549,24,710,144,3,24
2022-04-22,402,114,629,138,0,24
2022-04-23,215,529,522,133,0,23
2022-04-24,181,624,413,127,12,20
2022-04-25,101,244,351,112,0,18
2022-04-26,273,43,474,103,0,16
2022-04-27,387,10,514,100,0,16
2022-04-28,364,19,531,98,0,15
2022-04-29,213,124,534,99,0,16
2022-04-30,178,645,440,95,0,15
2022-05-01,168,751,378,91,1,15
2022-05-02,87,289,368,85,10,12
2022-05-03,235,43,434,81,0,20
2022-05-04,340,7,468,78,0,20
2022-05-05,369,8,475,86,0,21
2022-05-06,246,122,458,91,6,23
2022-05-07,197,698,373,91,1,25
2022-05-08,256,891,330,100,1,23
2022-05-09,120,326,301,109,0,22
2022-05-10,398,49,362,114,1,24
2022-05-11,570,4,417,115,1,27
2022-05-12,600,29,436,116,0,29
2022-05-13,452,148,475,118,1,24
2022-05-14,282,863,405,122,1,25
2022-05-15,302,1037,396,129,2,27
2022-05-16,173,412,402,129,0,28
2022-05-17,484,64,454,129,1,27
2022-05-18,611,11,475,130,0,27
2022-05-19,621,17,486,129,0,26
2022-05-20,459,114,484,131,1,30
2022-05-21,282,754,383,129,1,31
2022-05-22,342,912,388,129,14,33
2022-05-23,120,325,365,124,0,31
2022-05-24,265,43,371,125,0,27
2022-05-25,196,13,478,124,0,26
2022-05-26,254,158,854,126,2,24
2022-05-27,406,486,915,125,1,26
2022-05-28,408,798,889,128,13,24
2022-05-29,284,879,813,128,0,24
2022-05-30,83,314,459,131,0,22
2022-05-31,291,43,343,138,0,23
2022-06-01,497,7,323,143,0,22
2022-06-02,519,20,363,147,0,23
2022-06-03,315,138,426,152,1,21
2022-06-04,195,984,400,153,0,24
2022-06-05,286,1317,399,152,2,22
2022-06-06,230,1027,418,160,0,19
2022-06-07,178,130,422,157,0,18
2022-06-08,544,13,395,159,0,16
2022-06-09,584,14,396,167,0,15
2022-06-10,459,139,398,165,0,16
2022-06-11,319,843,354,163,0,16
2022-06-12,465,1030,342,162,30,17
2022-06-13,233,439,349,161,0,17
2022-06-14,498,54,433,162,2,21
2022-06-15,625,10,455,162,0,22
2022-06-16,615,27,486,158,0,21
2022-06-17,437,157,486,158,1,21
2022-06-18,272,809,384,157,0,22
2022-06-19,290,932,358,153,17,22
2022-06-20,149,382,363,152,0,21
2022-06-21,428,43,404,152,0,24
2022-06-22,542,10,417,151,1,23
2022-06-23,631,24,466,150,0,21
2022-06-24,484,158,483,145,0,19
2022-06-25,342,801,426,145,2,18
2022-06-26,268,933,410,147,0,19
2022-06-27,178,396,394,143,0,18
2022-06-28,396,56,427,141,0,19
2022-06-29,522,11,424,144,0,21
2022-06-30,518,22,415,143,1,22
2022-07-01,384,126,430,131,0,21
2022-07-02,216,723,354,133,0,25
2022-07-03,235,885,337,138,0,26
2022-07-04,148,397,335,139,0,26
2022-07-05,386,66,408,140,0,23
2022-07-06,506,15,413,145,0,24
2022-07-07,460,14,405,143,0,23
2022-07-08,285,101,407,152,0,23
2022-07-09,234,618,370,152,1,25
2022-07-10,233,740,396,169,1,31
2022-07-11,116,294,412,173,0,34
2022-07-12,303,54,449,178,0,34
2022-07-13,242,18,526,192,0,32
2022-07-14,234,117,714,200,0,41
2022-07-15,319,341,760,206,3,47
2022-07-16,260,638,705,211,3,49
2022-07-17,312,759,655,220,2,50
2022-07-18,182,308,483,221,0,49
2022-07-19,204,36,438,230,0,48
2022-07-20,475,13,457,234,0,51
2022-07-21,449,15,453,229,0,55
2022-07-22,249,89,463,239,1,53
2022-07-23,127,462,416,229,0,52
2022-07-24,154,612,402,243,0,52
2022-07-25,151,299,392,235,0,48
2022-07-26,211,46,423,243,0,46
2022-07-27,272,8,408,242,0,42
2022-07-28,243,11,423,238,1,46
2022-07-29,161,100,395,235,1,45
2022-07-30,202,485,359,244,3,43
2022-07-31,197,610,336,246,5,40
2022-08-01,89,247,318,238,0,43
2022-08-02,168,35,402,257,0,45
2022-08-03,216,14,461,259,0,45
2022-08-04,194,14,479,265,0,46
2022-08-05,132,70,485,265,1,44
2022-08-06,94,331,447,273,1,48
2022-08-07,88,410,449,282,0,48
2022-08-08,87,171,461,288,15,45
2022-08-09,159,35,520,291,2,48
2022-08-10,219,5,539,288,3,50
2022-08-11,195,12,542,284,3,46
2022-08-12,112,82,554,283,2,47
2022-08-13,77,426,536,285,2,52
2022-08-14,88,566,547,289,1,54
2022-08-15,76,456,546,287,3,49
2022-08-16,89,85,563,275,2,47
2022-08-17,161,12,558,267,2,46
2022-08-18,189,12,538,254,1,48
2022-08-19,169,70,547,245,0,50
2022-08-20,100,349,498,227,2,49
2022-08-21,91,419,425,210,23,47
2022-08-22,63,179,410,199,1,41
2022-08-23,164,34,466,183,1,39
2022-08-24,258,4,469,168,2,37
2022-08-25,276,14,471,166,1,36
2022-08-26,201,118,460,163,1,32
2022-08-27,141,508,396,163,2,31
2022-08-28,122,607,358,151,1,32
2022-08-29,85,280,315,160,0,30
2022-08-30,239,57,322,156,0,28
2022-08-31,299,12,309,157,0,26
2022-09-01,222,7,294,149,9,27
2022-09-02,161,85,311,147,1,28
2022-09-03,180,587,303,144,2,28
2022-09-04,236,703,301,145,1,31
2022-09-05,106,297,300,144,0,33
2022-09-06,365,37,373,145,0,31
2022-09-07,468,7,406,144,1,32
2022-09-08,528,14,431,145,0,34
2022-09-09,396,117,437,152,0,34
2022-09-10,232,713,365,154,0,34
2022-09-11,260,865,352,155,14,40
2022-09-12,149,336,353,155,0,43
2022-09-13,414,46,437,159,0,46
2022-09-14,599,7,450,166,17,42
2022-09-15,588,19,460,168,0,41
2022-09-16,437,139,460,168,0,41
2022-09-17,271,755,372,162,0,42
2022-09-18,293,937,352,152,0,43
2022-09-19,166,417,351,158,0,42
2022-09-20,482,62,438,168,0,41
2022-09-21,641,15,448,166,1,42
2022-09-22,629,24,482,171,0,38
2022-09-23,459,144,477,176,2,32
2022-09-24,296,847,393,173,0,35
2022-09-25,312,1029,377,167,0,33
2022-09-26,177,389,366,167,0,32
2022-09-27,533,56,425,164,0,30
2022-09-28,667,11,436,161,0,28
2022-09-29,668,25,475,158,0,27
2022-09-30,493,158,489,161,0,27
2022-10-01,296,835,434,152,0,30
2022-10-02,295,1019,405,151,0,31
2022-10-03,152,405,380,152,0,28
2022-10-04,473,46,446,158,0,25
2022-10-05,641,13,452,157,0,25
2022-10-06,687,22,453,163,0,25
2022-10-07,480,150,451,166,3,21
2022-10-08,299,870,371,163,3,23
2022-10-09,340,1032,369,161,1,24
2022-10-10,160,361,349,159,0,26
2022-10-11,486,44,431,158,0,26
2022-10-12,664,8,457,158,0,24
2022-10-13,727,27,479,156,0,24
2022-10-14,576,150,495,153,0,23
2022-10-15,320,851,384,154,0,23
2022-10-16,316,1028,374,149,1,24
2022-10-17,203,412,373,156,0,21
2022-10-18,490,54,449,156,0,19
2022-10-19,601,14,445,157,0,15
2022-10-20,647,31,454,161,0,16
2022-10-21,462,132,458,174,0,16
2022-10-22,261,689,426,185,1,14
2022-10-23,271,877,514,186,10,16
2022-10-24,195,403,601,183,0,15
2022-10-25,466,98,749,183,0,19
2022-10-26,593,28,777,179,0,20
2022-10-27,502,50,820,174,0,21
2022-10-28,306,188,856,174,0,22
2022-10-29,215,701,940,181,0,21
2022-10-30,285,1000,992,177,1,22
2022-10-31,269,745,1069,177,0,24
2022-11-01,306,479,1150,176,0,23
2022-11-02,273,93,1050,177,8,23
2022-11-03,501,37,913,174,0,25
2022-11-04,436,143,798,177,0,24
2022-11-05,300,607,638,172,0,26
2022-11-06,284,715,464,171,5,25
2022-11-07,166,289,324,160,10,21
2022-11-08,569,49,341,154,0,24
2022-11-09,747,14,407,148,0,26
2022-11-10,517,40,535,148,1,27
2022-11-11,443,600,608,149,1,26
2022-11-12,542,1422,597,155,2,27
2022-11-13,515,1536,576,159,33,29
2022-11-14,177,540,499,163,0,26
2022-11-15,530,71,503,174,0,24
2022-11-16,773,17,495,175,0,24
2022-11-17,871,43,510,176,1,27
2022-11-18,625,182,535,181,0,25
2022-11-19,370,924,412,186,0,25
2022-11-20,353,1104,393,186,0,24
2022-11-21,218,427,381,185,0,23
2022-11-22,633,68,458,177,0,22
2022-11-23,874,14,496,169,0,22
2022-11-24,988,40,527,170,1,23
2022-11-25,645,216,517,165,0,23
2022-11-26,359,1124,411,161,0,21
2022-11-27,310,1382,381,160,0,21
2022-11-28,221,508,342,147,0,21
2022-11-29,590,78,391,146,0,23
2022-11-30,715,24,394,141,0,17
2022-12-01,695,47,423,137,2,13
2022-12-02,509,290,441,136,0,12
2022-12-03,234,684,354,124,0,11
2022-12-04,191,772,328,121,0,10
2022-12-05,133,344,267,119,0,10
2022-12-06,538,51,355,117,0,8
2022-12-07,735,14,382,117,0,6
2022-12-08,742,34,379,118,0,5
2022-12-09,571,198,388,116,0,4
2022-12-10,330,1094,312,118,0,3
2022-12-11,304,1275,299,119,2,2
2022-12-12,221,434,306,117,0,2
2022-12-13,693,71,359,117,0,3
2022-12-14,872,22,349,118,0,3
2022-12-15,827,38,338,129,0,4
2022-12-16,535,121,327,146,0,3
2022-12-17,214,639,286,165,0,5
2022-12-18,208,793,367,197,0,5
2022-12-19,227,358,419,204,0,6
2022-12-20,424,81,518,213,1,9
2022-12-21,404,44,612,236,0,12
2022-12-22,258,102,783,268,0,16
2022-12-23,128,311,1005,299,0,21
2022-12-24,100,719,1098,314,0,23
2022-12-25,139,890,1223,320,0,25
2022-12-26,147,718,1219,320,0,26
2022-12-27,227,302,1243,315,0,28
2022-12-28,302,102,1144,309,0,27
2022-12-29,272,67,962,302,0,27
2022-12-30,229,183,882,296,5,25
2022-12-31,148,486,729,280,0,28
2023-01-01,175,584,622,273,0,24
2023-01-02,83,285,408,245,0,23
2023-01-03,119,38,280,196,0,19
2023-01-04,304,4,240,166,1,18
2023-01-05,389,14,231,149,0,17
2023-01-06,300,88,240,142,0,16
2023-01-07,175,543,211,141,2,16
2023-01-08,183,657,212,139,1,15
2023-01-09,165,218,240,134,0,13
2023-01-10,543,29,328,129,0,15
2023-01-11,782,5,361,121,0,14
2023-01-12,790,28,388,126,0,14
2023-01-13,505,171,378,126,0,12
2023-01-14,215,808,284,132,1,11
2023-01-15,216,943,264,130,0,12
2023-01-16,166,330,259,129,0,12
2023-01-17,596,43,338,134,0,16
2023-01-18,759,11,350,136,0,15
