date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
2021-06-01,6,0,5,0
2021-06-02,10,0,13,0
2021-06-03,15,0,6,0
2021-06-04,18,0,15,0
2021-06-05,18,0,5,1
2021-06-06,21,1,3,0
2021-06-07,8,0,4,2
2021-06-08,5,2,8,0
2021-06-09,7,1,6,0
2021-06-10,8,0,6,0
2021-06-11,5,0,16,0
2021-06-12,14,0,2,0
2021-06-13,15,0,0,0
2021-06-14,8,0,3,0
2021-06-15,5,0,8,0
2021-06-16,8,0,14,1
2021-06-17,12,1,7,0
2021-06-18,10,0,19,0
2021-06-19,17,0,4,0
2021-06-20,19,0,3,0
2021-06-21,7,0,9,0
2021-06-22,8,0,8,1
2021-06-23,11,1,10,1
2021-06-24,14,1,5,0
2021-06-25,8,0,22,1
2021-06-26,22,1,4,0
2021-06-27,24,1,2,0
2021-06-28,10,0,10,0
2021-06-29,7,0,7,0
2021-06-30,10,0,6,1
2021-07-01,10,0,11,0
2021-07-02,13,0,11,0
2021-07-03,16,0,4,0
2021-07-04,18,0,1,0
2021-07-05,10,0,8,0
2021-07-06,11,0,5,1
2021-07-07,9,0,6,0
2021-07-08,11,0,3,0
2021-07-09,7,0,11,0
2021-07-10,12,0,3,0
2021-07-11,14,0,2,0
2021-07-12,8,0,9,2
2021-07-13,11,2,6,0
2021-07-14,9,0,2,0
2021-07-15,9,0,3,0
2021-07-16,7,0,9,0
2021-07-17,14,0,2,0
2021-07-18,15,0,0,0
2021-07-19,7,0,2,0
2021-07-20,4,0,5,0
2021-07-21,6,0,8,1
2021-07-22,9,0,7,0
2021-07-23,8,0,3,0
2021-07-24,9,0,1,1
2021-07-25,8,1,1,0
2021-07-26,7,0,7,0
2021-07-27,8,0,2,0
2021-07-28,8,0,4,0
2021-07-29,8,0,1,0
2021-07-30,8,0,6,1
2021-07-31,10,1,4,0
2021-08-01,11,1,1,1
2021-08-02,7,2,3,0
2021-08-03,4,1,6,0
2021-08-04,8,1,3,0
2021-08-05,8,0,2,0
2021-08-06,7,0,7,0
2021-08-07,12,0,6,0
