date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
2021-06-01,12,3,7,0
2021-06-02,16,3,5,0
2021-06-03,14,3,6,1
2021-06-04,13,3,6,0
2021-06-05,11,2,6,0
2021-06-06,15,1,3,0
2021-06-07,12,0,9,1
2021-06-08,14,1,5,1
2021-06-09,13,1,14,0
2021-06-10,22,1,12,0
2021-06-11,16,0,11,0
2021-06-12,18,0,5,0
2021-06-13,19,0,3,1
2021-06-14,9,1,9,0
2021-06-15,15,1,15,0
2021-06-16,24,1,9,0
2021-06-17,24,1,4,0
2021-06-18,13,1,9,1
2021-06-19,12,1,5,0
2021-06-20,13,0,1,0
2021-06-21,8,0,17,1
2021-06-22,24,1,20,0
2021-06-23,32,1,7,0
2021-06-24,26,0,12,4
2021-06-25,20,2,11,0
2021-06-26,18,2,9,0
2021-06-27,23,1,3,0
2021-06-28,16,0,17,0
2021-06-29,24,0,12,0
2021-06-30,26,0,9,2
2021-07-01,20,1,2,2
2021-07-02,14,1,14,1
2021-07-03,20,1,7,0
2021-07-04,25,1,3,0
2021-07-05,15,1,15,0
2021-07-06,22,0,12,0
2021-07-07,23,0,14,1
2021-07-08,24,0,6,1
2021-07-09,18,1,12,0
2021-07-10,20,1,4,0
2021-07-11,23,1,3,0
2021-07-12,11,0,9,0
2021-07-13,14,0,9,0
2021-07-14,15,0,4,2
2021-07-15,18,2,11,3
2021-07-16,18,3,4,0
2021-07-17,18,3,7,0
2021-07-18,21,3,3,0
2021-07-19,17,2,10,0
2021-07-20,20,2,12,0
2021-07-21,25,2,8,0
2021-07-22,24,2,13,0
2021-07-23,28,2,6,0
2021-07-24,27,2,2,0
2021-07-25,23,2,5,1
2021-07-26,20,3,7,0
2021-07-27,23,3,9,1
2021-07-28,26,4,5,0
2021-07-29,29,4,6,0
2021-07-30,24,2,5,0
2021-07-31,22,2,9,0
2021-08-01,26,2,4,0
2021-08-02,22,2,11,1
2021-08-03,28,3,7,1
2021-08-04,31,4,5,1
2021-08-05,30,5,3,0
2021-08-06,26,4,8,0
2021-08-07,28,3,2,0
2021-08-08,23,2,3,0
2021-08-09,22,2,10,0
2021-08-10,26,2,5,0
2021-08-11,27,2,10,0
2021-08-12,31,2,4,1
2021-08-13,30,2,5,1
2021-08-14,26,2,2,0
2021-08-15,24,2,6,0
2021-08-16,20,2,9,0
2021-08-17,20,2,10,0
2021-08-18,24,2,3,0
2021-08-19,21,2,5,0
2021-08-20,17,1,7,0
2021-08-21,20,1,4,0
2021-08-22,19,1,5,0
2021-08-23,19,1,7,2
2021-08-24,23,3,6,0
2021-08-25,27,3,10,0
2021-08-26,28,3,4,0
2021-08-27,24,1,5,2
2021-08-28,19,3,7,0
2021-08-29,21,3,5,0
2021-08-30,12,1,12,0
2021-08-31,17,1,8,0
2021-09-01,18,0,6,0
2021-09-02,13,0,6,0
2021-09-03,16,0,7,0
2021-09-04,14,0,7,0
2021-09-05,18,0,4,1
2021-09-06,14,1,23,1
2021-09-07,26,2,11,1
2021-09-08,26,0,16,0
2021-09-09,31,0,13,0
2021-09-10,23,0,13,1
2021-09-11,24,1,1,0
2021-09-12,18,1,5,0
2021-09-13,10,0,17,2
2021-09-14,22,2,13,1
2021-09-15,30,2,13,1
2021-09-16,28,2,14,1
2021-09-17,27,2,23,1
2021-09-18,30,0,6,1
2021-09-19,30,1,4,0
2021-09-20,19,0,17,1
2021-09-21,21,1,20,1
2021-09-22,33,2,23,0
2021-09-23,39,0,16,0
2021-09-24,39,0,21,1
2021-09-25,41,1,10,0
2021-09-26,46,1,4,0
2021-09-27,26,1,22,0
2021-09-28,32,1,18,1
2021-09-29,32,0,18,1
2021-09-30,39,0,15,1
2021-10-01,33,0,12,0
2021-10-02,25,0,9,0
2021-10-03,28,0,4,0
2021-10-04,17,0,18,2
2021-10-05,26,2,14,1
2021-10-06,29,3,17,1
2021-10-07,36,4,16,2
2021-10-08,27,6,14,2
2021-10-09,24,3,10,0
2021-10-10,26,3,5,0
2021-10-11,21,3,17,0
2021-10-12,26,2,15,1
2021-10-13,29,3,20,0
2021-10-14,38,3,11,0
2021-10-15,27,3,17,0
2021-10-16,32,0,13,1
2021-10-17,39,1,3,0
2021-10-18,23,1,24,2
2021-10-19,29,2,21,0
2021-10-20,42,2,27,1
2021-10-21,50,2,16,2
2021-10-22,32,1,15,3
2021-10-23,32,4,6,2
2021-10-24,29,5,5,0
2021-10-25,24,3,9,1
2021-10-26,25,3,14,0
2021-10-27,34,3,16,0
2021-10-28,32,1,11,2
2021-10-29,33,2,13,1
2021-10-30,30,3,5,0
2021-10-31,30,2,5,2
2021-11-01,28,3,3,0
2021-11-02,17,3,17,0
2021-11-03,27,3,12,0
2021-11-04,31,2,17,0
2021-11-05,27,2,14,0
