date,standard,premium,6H à 9H,15H à 18H,9H à 12H,12H à 15H,0H à 6H,18H à 24H,+24h,06:00 24:00,00:30 06:00,00:00 00:30
2021-06-01,6,0,2,0,0,2,1,1,6,0,0,0
2021-06-02,10,0,5,0,1,2,1,1,10,0,0,0
2021-06-03,15,0,8,1,2,2,1,1,15,0,0,0
2021-06-04,18,0,9,1,2,3,2,1,18,0,0,0
2021-06-05,18,0,2,4,4,8,0,0,18,0,0,0
2021-06-06,21,0,5,5,2,8,0,1,21,0,0,0
2021-06-07,8,0,3,1,0,4,0,0,8,0,0,0
2021-06-08,5,0,2,0,1,0,2,0,5,0,0,0
2021-06-09,7,0,1,1,1,2,2,0,7,0,0,0
2021-06-10,8,0,2,1,0,3,2,0,8,0,0,0
2021-06-11,5,0,2,0,1,1,1,0,5,0,0,0
2021-06-12,14,0,4,3,2,3,1,1,14,0,0,0
2021-06-13,15,0,4,3,3,3,1,1,15,0,0,0
2021-06-14,8,0,3,1,2,1,1,0,8,0,0,0
2021-06-15,5,0,3,0,0,0,2,0,5,0,0,0
2021-06-16,8,0,4,0,1,1,2,0,8,0,0,0
2021-06-17,12,0,2,3,2,2,2,1,12,0,0,0
2021-06-18,10,0,2,2,3,1,1,1,9,1,0,0
2021-06-19,17,0,2,4,2,7,0,2,16,1,0,0
2021-06-20,19,0,4,3,3,7,0,2,19,0,0,0
2021-06-21,7,0,1,0,2,3,0,1,7,0,0,0
2021-06-22,8,0,3,0,1,3,0,1,8,0,0,0
2021-06-23,11,0,4,1,2,3,0,1,11,0,0,0
2021-06-24,14,0,4,4,3,3,0,0,14,0,0,0
2021-06-25,8,0,3,0,2,2,0,1,8,0,0,0
2021-06-26,22,0,1,7,5,8,0,1,22,0,0,0
2021-06-27,24,0,3,7,4,9,0,1,24,0,0,0
2021-06-28,10,0,0,2,3,5,0,0,10,0,0,0
2021-06-29,7,0,1,1,2,2,0,1,7,0,0,0
2021-06-30,10,0,1,2,3,3,0,1,9,1,0,0
