date,standard,premium,6H à 9H,15H à 18H,9H à 12H,12H à 15H,0H à 6H,18H à 24H,+24h,06:00 24:00,00:30 06:00,00:00 00:30
2021-06-01,13,6,5,2,5,6,0,1,19,0,0,0
2021-06-02,15,2,4,3,5,4,0,1,17,0,0,0
2021-06-03,15,2,2,5,6,3,0,1,17,0,0,0
2021-06-04,14,1,3,5,2,1,1,3,15,0,0,0
2021-06-05,58,1,8,33,1,6,1,10,59,0,0,0
2021-06-06,68,2,18,32,4,6,1,9,70,0,0,0
2021-06-07,21,2,5,7,2,5,0,4,23,0,0,0
2021-06-08,14,3,6,6,1,3,1,0,17,0,0,0
2021-06-09,25,4,7,7,1,10,3,1,28,1,0,0
2021-06-10,22,4,7,8,2,7,2,0,26,0,0,0
2021-06-11,22,4,5,7,5,6,2,1,26,0,0,0
2021-06-12,69,6,7,35,8,12,3,10,75,0,0,0
2021-06-13,85,9,18,36,12,13,4,11,93,1,0,0
2021-06-14,30,6,6,8,5,11,1,5,36,0,0,0
2021-06-15,19,5,7,8,0,7,1,1,24,0,0,0
2021-06-16,22,6,7,7,2,8,2,2,28,0,0,0
2021-06-17,30,7,12,10,2,10,2,1,37,0,0,0
2021-06-18,27,5,12,5,2,8,4,1,31,1,0,0
2021-06-19,79,2,13,33,3,15,5,12,81,0,0,0
2021-06-20,86,2,15,35,4,15,7,12,88,0,0,0
2021-06-21,32,0,5,13,2,4,4,4,32,0,0,0
2021-06-22,34,4,14,3,11,5,4,1,37,1,0,0
2021-06-23,37,4,12,8,8,8,4,1,40,1,0,0
2021-06-24,33,11,15,10,7,6,4,2,44,0,0,0
2021-06-25,32,9,13,6,6,6,6,4,40,1,0,0
2021-06-26,64,8,11,33,5,11,4,8,72,0,0,0
2021-06-27,77,6,21,33,2,11,8,8,82,1,0,0
2021-06-28,32,4,9,14,3,3,7,0,36,0,0,0
2021-06-29,29,10,14,5,6,6,8,0,39,0,0,0
2021-06-30,35,6,14,8,10,4,4,1,40,1,0,0
2021-07-01,38,0,13,5,12,3,2,3,38,0,0,0
2021-07-02,40,0,11,5,12,2,8,2,40,0,0,0
2021-07-03,66,0,4,28,5,11,10,8,65,1,0,0
2021-07-04,78,0,18,28,7,10,8,7,78,0,0,0
2021-07-05,42,0,9,11,6,6,7,3,42,0,0,0
2021-07-06,43,0,13,6,9,8,3,4,40,3,0,0
2021-07-07,56,0,19,8,14,8,4,3,53,3,0,0
2021-07-08,57,0,16,15,11,10,3,2,57,0,0,0
2021-07-09,37,0,14,9,9,2,1,2,37,0,0,0
2021-07-10,67,0,11,30,7,10,3,6,67,0,0,0
2021-07-11,74,0,16,29,7,11,5,6,73,1,0,0
2021-07-12,41,0,9,11,5,5,7,4,41,0,0,0
2021-07-13,29,0,8,6,3,2,9,1,27,2,0,0
2021-07-14,24,0,10,5,2,1,5,1,24,0,0,0
2021-07-15,25,0,9,5,5,1,4,1,24,1,0,0
2021-07-16,34,0,15,6,5,2,4,2,34,0,0,0
2021-07-17,67,0,13,24,11,10,2,7,67,0,0,0
2021-07-18,83,0,12,23,10,14,18,6,83,0,0,0
2021-07-19,45,0,7,13,4,8,11,2,45,0,0,0
2021-07-20,44,0,19,4,5,7,6,3,44,0,0,0
2021-07-21,35,0,12,4,3,5,8,3,35,0,0,0
2021-07-22,39,0,14,7,3,6,6,3,38,1,0,0
2021-07-23,25,0,6,5,3,4,4,3,25,0,0,0
2021-07-24,54,0,3,25,3,13,3,7,53,1,0,0
2021-07-25,65,0,11,23,4,11,9,7,63,2,0,0
2021-07-26,33,0,9,8,1,6,5,4,33,0,0,0
2021-07-27,31,0,12,4,5,2,5,3,31,0,0,0
2021-07-28,27,2,9,5,6,1,5,3,26,3,0,0
2021-07-29,28,1,9,2,6,3,5,4,26,3,0,0
2021-07-30,14,0,2,2,3,1,3,3,13,1,0,0
2021-07-31,22,1,1,8,2,6,2,4,23,0,0,0
2021-08-01,26,2,6,7,2,7,3,3,26,2,0,0
2021-08-02,13,2,3,2,3,4,3,0,15,0,0,0
2021-08-03,15,2,5,1,2,5,4,0,16,1,0,0
2021-08-04,15,2,5,1,5,5,1,0,17,0,0,0
2021-08-05,11,4,4,2,3,4,2,0,14,1,0,0
2021-08-06,13,5,5,5,2,4,2,0,17,1,0,0
2021-08-07,33,6,1,14,3,12,3,6,39,0,0,0
2021-08-08,44,5,5,11,8,12,7,6,48,1,0,0
2021-08-09,27,4,8,5,7,5,5,1,31,0,0,0
2021-08-10,19,3,7,2,8,1,4,0,22,0,0,0
2021-08-11,19,3,6,1,6,2,7,0,22,0,0,0
2021-08-12,20,4,10,0,6,2,6,0,24,0,0,0
2021-08-13,15,4,7,0,6,2,4,0,18,1,0,0
2021-08-14,22,4,7,9,4,3,2,1,26,0,0,0
2021-08-15,25,2,5,10,1,4,6,1,26,1,0,0
2021-08-16,20,1,6,4,0,3,8,0,21,0,0,0
2021-08-17,16,3,6,2,1,1,9,0,18,1,0,0
