date,standard,premium,6H à 9H,15H à 18H,9H à 12H,12H à 15H,0H à 6H,18H à 24H,+24h,06:00 24:00,00:30 06:00,00:00 00:30
2021-06-01,351,17,112,67,90,59,22,18,365,3,0,0
2021-06-02,381,14,122,67,96,68,24,18,395,0,0,0
2021-06-03,414,14,131,75,105,72,26,19,428,0,0,0
2021-06-04,402,10,119,83,94,67,28,21,411,1,0,0
2021-06-05,680,15,134,220,117,133,28,63,694,1,0,0
2021-06-06,755,17,193,217,138,128,32,64,768,4,0,0
2021-06-07,398,11,100,86,98,78,21,26,406,3,0,0
2021-06-08,368,17,111,80,85,74,13,22,382,3,0,0
2021-06-09,423,19,137,76,96,97,19,17,440,2,0,0
2021-06-10,474,24,143,96,106,105,23,25,495,3,0,0
2021-06-11,488,20,126,96,119,114,22,31,503,5,0,0
2021-06-12,786,26,152,215,164,194,21,66,810,2,0,0
2021-06-13,902,32,229,220,193,192,36,64,928,6,0,0
2021-06-14,514,17,142,94,126,114,25,30,528,3,0,0
2021-06-15,462,15,157,77,104,94,27,18,476,1,0,0
2021-06-16,504,23,159,86,119,110,32,21,522,4,1,0
2021-06-17,531,27,173,105,121,114,25,20,555,3,0,0
2021-06-18,556,28,169,120,126,106,37,26,575,9,0,0
2021-06-19,895,32,181,254,172,183,46,91,920,7,0,0
2021-06-20,970,33,235,256,183,188,48,93,999,4,0,0
2021-06-21,580,24,147,137,137,109,34,40,601,3,0,0
2021-06-22,557,31,184,95,129,101,52,27,582,6,0,0
2021-06-23,595,37,200,107,114,121,59,31,629,3,0,0
2021-06-24,613,40,201,121,121,128,51,31,651,2,0,0
2021-06-25,594,37,185,116,137,113,49,31,628,3,0,0
2021-06-26,864,39,191,242,152,201,44,73,895,8,0,0
2021-06-27,929,39,260,241,153,189,49,76,961,7,0,0
2021-06-28,580,26,177,126,113,116,37,37,601,5,0,0
2021-06-29,539,33,175,101,104,110,56,26,571,1,0,0
2021-06-30,577,21,197,98,117,108,46,32,595,3,0,0
2021-07-01,540,9,177,89,112,97,36,38,543,6,0,0
2021-07-02,552,11,169,110,111,90,42,41,554,9,0,0
2021-07-03,825,13,168,221,145,172,47,85,832,6,0,0
2021-07-04,927,12,238,225,158,188,47,83,933,6,0,0
2021-07-05,609,11,150,143,120,121,41,45,620,0,0,0
2021-07-06,608,19,187,112,121,118,44,45,618,9,0,0
2021-07-07,690,24,217,118,135,129,64,51,706,8,0,0
2021-07-08,692,21,206,123,139,129,65,51,705,8,0,0
2021-07-09,645,13,192,117,139,111,41,58,651,7,0,0
2021-07-10,854,14,182,220,154,169,45,98,860,8,0,0
2021-07-11,1027,16,272,238,189,193,55,96,1012,30,1,0
2021-07-12,761,12,219,138,155,142,53,66,765,8,0,0
2021-07-13,710,29,221,113,150,134,60,61,717,21,1,0
2021-07-14,668,20,178,130,148,121,57,54,673,15,0,0
2021-07-15,742,16,217,128,158,132,63,60,730,27,1,0
2021-07-16,740,20,256,110,155,114,62,63,752,8,0,0
2021-07-17,942,21,279,200,175,165,59,85,959,4,0,0
2021-07-18,975,25,289,201,175,174,73,88,987,12,1,0
2021-07-19,631,18,194,110,111,119,49,66,643,6,0,0
2021-07-20,690,19,239,95,138,114,70,53,703,6,0,0
2021-07-21,745,21,258,106,147,122,83,50,759,7,0,0
2021-07-22,763,23,269,117,143,130,81,46,782,4,0,0
2021-07-23,710,20,214,127,148,132,62,47,722,8,0,0
2021-07-24,871,21,220,209,151,167,60,85,882,10,0,0
2021-07-25,931,20,270,200,172,157,69,83,942,9,0,0
2021-07-26,687,18,207,117,138,126,60,57,702,3,0,0
2021-07-27,682,18,217,104,144,124,64,47,697,3,0,0
2021-07-28,731,25,244,105,155,130,66,56,747,9,0,0
2021-07-29,729,27,236,104,161,124,78,53,747,9,0,0
2021-07-30,646,20,209,107,135,112,52,51,660,6,0,0
2021-07-31,727,18,185,167,142,128,49,74,739,6,0,0
2021-08-01,776,20,217,174,146,132,59,68,780,15,1,0
2021-08-02,615,18,192,115,125,104,48,49,632,1,0,0
2021-08-03,650,23,230,97,144,104,59,39,666,7,0,0
2021-08-04,723,24,260,101,168,115,68,35,744,3,0,0
2021-08-05,745,29,261,112,182,118,69,32,770,4,0,0
2021-08-06,725,31,232,120,181,125,62,36,753,3,0,0
2021-08-07,818,36,222,163,179,166,49,75,846,8,0,0
2021-08-08,829,36,257,144,176,159,53,76,861,4,0,0
2021-08-09,703,27,232,98,160,139,57,44,725,5,0,0
2021-08-10,732,29,269,85,166,134,71,36,754,7,0,0
2021-08-11,795,29,299,89,173,136,88,39,819,5,0,0
2021-08-12,798,39,297,92,182,140,89,37,830,7,0,0
2021-08-13,765,40,273,96,182,136,72,46,799,6,0,0
2021-08-14,839,43,263,154,169,164,60,72,874,8,0,0
2021-08-15,838,34,274,146,157,162,60,73,865,6,0,1
2021-08-16,711,25,241,112,134,131,58,60,695,40,1,0
2021-08-17,675,26,254,73,134,116,86,38,699,2,0,0
2021-08-18,705,25,264,79,147,120,88,32,728,1,1,0
2021-08-19,730,32,272,89,156,137,82,26,757,5,0,0
2021-08-20,706,22,256,105,147,120,73,27,724,4,0,0
2021-08-21,805,28,234,164,145,165,74,51,831,2,0,0
2021-08-22,814,39,256,154,155,169,69,50,843,9,1,0
2021-08-23,549,36,184,89,108,114,57,33,581,4,0,0
2021-08-24,579,37,209,83,116,110,69,29,609,7,0,0
2021-08-25,659,31,237,88,137,119,82,27,685,5,0,0
2021-08-26,693,28,237,94,144,125,91,30,714,7,0,0
2021-08-27,660,29,219,94,144,116,81,35,687,2,0,0
2021-08-28,761,30,208,164,140,160,58,61,789,2,0,0
2021-08-29,800,35,221,180,145,161,54,74,797,33,5,0
2021-08-30,476,20,136,91,104,95,33,37,492,3,1,0
2021-08-31,457,26,146,79,96,86,46,30,478,5,0,0
2021-09-01,425,27,146,80,82,82,35,27,449,3,0,0
2021-09-02,416,23,141,82,72,83,32,29,434,5,0,0
2021-09-03,438,29,151,87,82,88,32,27,459,8,0,0
2021-09-04,693,38,158,191,106,157,36,83,721,8,2,0
2021-09-05,793,35,210,193,133,171,36,85,812,16,0,0
2021-09-06,491,24,144,85,110,114,22,40,511,3,1,0
2021-09-07,619,38,226,100,132,118,50,31,652,5,0,0
2021-09-08,672,44,255,114,140,123,52,32,710,6,0,0
2021-09-09,709,44,248,128,147,146,48,36,749,4,0,0
2021-09-10,656,32,218,126,140,129,42,33,683,5,0,0
2021-09-11,956,44,196,285,177,205,47,90,996,3,1,0
2021-09-12,1046,39,245,288,207,201,54,90,1073,12,0,0
2021-09-13,592,21,149,134,138,115,29,48,610,3,0,0
2021-09-14,644,33,221,110,141,109,53,43,674,2,1,0
2021-09-15,719,53,269,119,149,124,66,45,765,7,0,0
2021-09-16,723,56,255,113,153,148,67,43,772,7,0,0
2021-09-17,707,36,229,131,142,139,59,43,741,2,0,0
2021-09-18,1076,45,208,292,193,244,67,117,1116,5,0,0
2021-09-19,1236,55,312,284,251,247,80,117,1282,9,0,0
2021-09-20,687,26,179,130,166,137,44,57,708,5,0,0
2021-09-21,736,38,238,141,146,133,73,43,766,8,0,0
2021-09-22,836,44,283,151,150,162,95,39,872,8,0,0
2021-09-23,880,60,258,169,173,190,106,44,929,11,0,0
2021-09-24,869,54,255,175,177,172,81,63,918,5,0,0
2021-09-25,1237,42,216,344,204,286,75,154,1267,10,2,0
2021-09-26,1375,44,310,341,258,288,75,147,1410,9,0,0
2021-09-27,734,19,184,140,159,163,49,58,744,9,0,0
2021-09-28,693,37,219,122,128,139,70,52,725,5,0,0
2021-09-29,770,35,250,147,137,147,66,58,799,6,0,0
2021-09-30,802,40,236,166,164,150,71,55,837,5,0,0
2021-10-01,724,39,207,167,153,125,55,56,750,8,5,0
2021-10-02,1038,49,214,319,165,202,46,141,1083,4,0,0
2021-10-03,1145,47,286,326,201,205,39,135,1184,8,0,0
2021-10-04,608,26,158,137,138,108,38,55,630,4,0,0
2021-10-05,637,44,214,121,120,135,48,43,675,5,1,0
2021-10-06,732,42,245,120,135,170,61,43,770,4,0,0
2021-10-07,756,57,256,154,150,163,50,40,808,5,0,0
2021-10-08,734,53,239,155,145,152,50,46,782,5,0,0
2021-10-09,1064,48,233,322,171,233,49,104,1103,8,1,0
2021-10-10,1142,58,290,314,223,240,35,98,1193,7,0,0
2021-10-11,652,28,182,134,151,128,23,62,677,3,0,0
2021-10-12,671,40,218,121,145,150,43,34,704,7,0,0
2021-10-13,777,51,249,134,172,173,64,36,818,10,0,0
2021-10-14,836,65,272,150,158,211,63,47,897,4,0,0
2021-10-15,823,51,259,162,163,176,60,54,870,4,0,0
2021-10-16,1061,49,234,269,188,254,43,122,1104,6,0,0
2021-10-17,1185,53,299,258,239,265,58,119,1229,9,0,0
2021-10-18,703,39,184,118,169,166,36,69,729,11,2,0
2021-10-19,715,48,197,147,130,187,47,55,759,4,0,0
2021-10-20,811,59,258,168,149,187,55,53,862,8,0,0
2021-10-21,810,54,270,165,146,185,55,43,857,7,0,0
2021-10-22,780,38,236,151,149,172,52,58,811,7,0,0
2021-10-23,1051,50,217,303,178,226,48,129,1096,5,0,0
2021-10-24,1277,63,302,317,265,265,70,121,1327,11,2,0
2021-10-25,1013,47,269,207,228,205,65,86,1041,18,1,0
2021-10-26,1036,54,330,190,240,194,80,56,1083,7,0,0
2021-10-27,1108,60,371,194,254,204,88,57,1162,6,0,0
2021-10-28,1122,57,362,186,265,225,78,63,1172,7,0,0
2021-10-29,1109,54,353,189,259,216,77,69,1158,5,0,0
2021-10-30,1485,62,387,362,278,303,74,143,1544,3,0,0
2021-10-31,1726,72,529,362,338,322,99,148,1790,7,1,0
2021-11-01,1551,60,483,327,303,279,97,122,1608,3,0,0
2021-11-02,971,34,310,162,220,192,73,48,1004,1,0,0
2021-11-03,989,33,335,158,225,183,81,40,1017,5,0,0
2021-11-04,1028,44,364,173,217,179,95,44,1065,7,0,0
2021-11-05,986,41,323,179,217,168,85,55,1010,15,2,0
2021-11-06,1027,42,267,254,196,200,67,85,1066,3,0,0
2021-11-07,938,44,256,243,169,178,52,84,971,11,0,0
2021-11-08,529,31,140,145,97,103,29,46,557,3,0,0
2021-11-09,691,52,225,165,111,134,59,49,740,3,0,0
2021-11-10,752,47,231,186,130,143,62,47,794,5,0,0
2021-11-11,918,36,185,254,177,193,60,85,947,7,0,0
2021-11-12,1372,55,389,282,345,254,75,82,1423,4,0,0
2021-11-13,1648,60,418,372,388,328,80,122,1701,5,2,0
2021-11-14,1552,58,417,334,361,316,67,115,1605,4,1,0
2021-11-15,775,27,187,169,169,172,48,57,800,2,0,0
2021-11-16,800,51,239,180,158,173,65,36,846,5,0,0
2021-11-17,994,70,339,195,195,214,82,39,1057,7,0,0
2021-11-18,1026,68,350,208,216,189,84,47,1084,10,0,0
2021-11-19,939,54,293,202,200,182,61,55,978,15,0,0
2021-11-20,1173,51,224,377,209,226,59,129,1219,5,0,0
2021-11-21,1344,60,345,361,262,249,58,129,1379,25,0,0
2021-11-22,782,31,193,171,177,168,47,57,807,6,0,0
2021-11-23,820,44,245,161,163,189,66,40,855,9,0,0
2021-11-24,932,62,286,200,186,205,73,44,985,9,0,0
2021-11-25,985,66,311,203,188,220,75,54,1042,8,1,0
2021-11-26,1000,67,302,235,195,198,78,59,1057,10,0,0
2021-11-27,1312,74,294,387,225,272,66,142,1380,5,1,0
2021-11-28,1418,64,382,356,276,271,59,138,1471,11,0,0
2021-11-29,754,25,206,132,205,142,40,54,778,1,0,0
2021-11-30,765,51,231,141,173,157,74,40,809,7,0,0
2021-12-01,771,53,231,151,165,157,78,42,817,7,0,0
2021-12-02,843,61,274,151,185,162,95,37,897,7,0,0
2021-12-03,841,52,278,160,184,133,86,52,887,5,1,0
2021-12-04,1253,55,286,335,237,260,67,123,1300,8,0,0
2021-12-05,1386,61,373,330,283,280,64,117,1432,15,0,0
2021-12-06,731,31,197,137,183,159,40,46,756,6,0,0
2021-12-07,700,38,232,111,157,154,53,31,734,4,0,0
2021-12-08,803,51,272,136,172,177,61,36,848,6,0,0
2021-12-09,835,54,263,167,172,186,58,43,882,7,0,0
2021-12-10,879,50,245,191,192,178,63,60,919,10,0,0
2021-12-11,1243,53,250,373,228,260,55,130,1290,5,1,0
2021-12-12,1352,56,343,357,268,263,54,123,1397,9,2,0
2021-12-13,694,28,162,159,191,132,44,34,719,3,0,0
2021-12-14,629,42,187,122,154,128,57,23,663,8,0,0
2021-12-15,648,47,209,128,142,134,55,27,687,7,1,0
2021-12-16,630,39,219,120,122,122,52,34,661,8,0,0
2021-12-17,577,34,181,123,117,98,54,38,601,10,0,0
2021-12-18,678,34,150,198,141,116,38,69,707,4,1,0
2021-12-19,904,44,248,209,215,158,43,75,942,5,1,0
2021-12-20,817,40,237,151,228,147,48,46,855,2,0,0
2021-12-21,905,49,261,153,258,158,74,50,953,1,0,0
2021-12-22,1047,53,276,189,306,191,85,53,1097,3,0,0
2021-12-23,1237,59,309,250,361,238,70,68,1291,3,2,0
2021-12-24,1647,70,393,377,466,302,94,85,1713,4,0,0
2021-12-25,2121,101,516,478,581,417,133,97,2211,11,0,0
2021-12-26,2203,105,576,481,580,438,137,96,2307,1,0,0
2021-12-27,1779,76,479,374,467,353,114,68,1853,2,0,0
2021-12-28,1532,68,447,309,376,296,129,43,1597,3,0,0
2021-12-29,1302,60,405,253,301,250,115,38,1358,4,0,0
2021-12-30,1167,55,376,206,275,229,94,42,1219,3,0,0
2021-12-31,1049,52,339,198,248,186,90,40,1098,3,0,0
2022-01-01,1101,55,323,222,261,206,88,56,1142,10,4,0
2022-01-02,833,30,233,172,192,154,68,44,859,4,0,0
2022-01-03,436,14,119,86,104,85,32,24,447,3,0,0
2022-01-04,369,21,117,56,91,57,45,24,389,0,1,0
2022-01-05,385,22,125,61,91,65,42,23,402,5,0,0
2022-01-06,378,25,127,77,95,57,28,19,398,5,0,0
2022-01-07,364,23,104,75,92,62,23,31,383,4,0,0
2022-01-08,546,23,97,167,101,118,20,66,565,4,0,0
2022-01-09,634,26,152,183,119,122,24,60,655,5,0,0
2022-01-10,349,15,91,92,79,68,9,25,361,3,0,0
2022-01-11,356,22,107,81,86,70,13,21,375,3,0,0
2022-01-12,396,31,137,76,93,85,17,19,424,3,0,0
2022-01-13,409,28,123,84,106,85,14,25,435,2,0,0
2022-01-14,420,31,114,95,113,78,16,35,450,1,0,0
