date,hourly rate,WE package,1 week package,1 month package,other package,2 weeks package
2021-06-01,0,0,27,4,0,0
2021-06-02,2,0,20,4,0,0
2021-06-03,2,0,22,4,0,0
2021-06-04,2,0,23,4,0,0
2021-06-05,1,9,28,4,0,0
2021-06-06,1,12,23,4,0,0
2021-06-07,0,5,22,5,0,0
2021-06-08,3,0,22,5,0,0
2021-06-09,4,0,24,5,0,0
2021-06-10,6,0,25,5,0,0
2021-06-11,3,0,29,4,0,0
2021-06-12,5,11,33,4,0,0
2021-06-13,7,17,30,4,0,0
2021-06-14,1,6,28,4,0,0
2021-06-15,5,0,23,4,0,0
2021-06-16,7,0,19,5,0,0
2021-06-17,5,0,23,5,0,0
2021-06-18,2,0,32,5,0,0
2021-06-19,6,12,40,6,0,0
2021-06-20,9,19,39,6,0,0
2021-06-21,3,7,34,6,0,0
2021-06-22,7,0,32,5,0,0
2021-06-23,6,0,22,5,0,0
2021-06-24,4,0,25,5,0,0
2021-06-25,1,0,32,4,0,0
2021-06-26,4,15,41,4,0,0
2021-06-27,4,19,38,5,0,0
2021-06-28,3,7,37,6,0,0
2021-06-29,6,0,36,7,0,0
2021-06-30,3,0,30,7,0,0
2021-07-01,3,0,21,7,0,0
2021-07-02,3,0,29,6,0,0
2021-07-03,6,6,37,6,0,0
2021-07-04,6,11,36,6,0,0
2021-07-05,1,5,37,8,0,0
2021-07-06,2,0,42,8,0,0
2021-07-07,5,0,41,9,0,0
2021-07-08,5,0,37,10,0,0
2021-07-09,2,0,40,9,0,0
2021-07-10,1,9,40,9,0,0
2021-07-11,3,18,38,9,0,0
2021-07-12,0,7,33,9,0,0
2021-07-13,4,0,31,9,0,0
2021-07-14,3,0,40,9,0,0
2021-07-15,4,0,44,9,0,0
2021-07-16,5,0,43,10,0,0
2021-07-17,2,6,44,10,0,0
2021-07-18,0,11,45,8,0,0
2021-07-19,0,5,38,9,0,0
2021-07-20,5,1,40,10,0,0
2021-07-21,2,0,46,9,0,0
2021-07-22,5,0,46,9,0,0
2021-07-23,3,0,46,9,0,0
2021-07-24,4,0,38,9,0,0
2021-07-25,2,1,42,12,0,0
2021-07-26,1,0,41,13,0,0
2021-07-27,3,0,43,12,0,0
2021-07-28,1,0,40,13,0,0
2021-07-29,2,0,36,14,0,0
2021-07-30,2,0,38,15,0,0
2021-07-31,1,1,30,14,0,0
2021-08-01,0,1,29,13,0,0
2021-08-02,0,1,24,16,0,0
2021-08-03,0,0,33,17,0,0
2021-08-04,0,0,35,17,0,0
2021-08-05,3,0,42,18,0,0
2021-08-06,4,0,41,18,0,0
2021-08-07,4,1,41,17,0,0
2021-08-08,4,2,36,18,0,0
2021-08-09,2,1,38,18,0,0
2021-08-10,3,0,40,17,0,0
2021-08-11,6,0,43,17,0,0
2021-08-12,3,0,43,17,0,0
2021-08-13,1,0,38,17,0,0
2021-08-14,1,5,33,14,0,0
2021-08-15,2,5,33,13,0,0
2021-08-16,1,3,33,14,0,0
2021-08-17,1,0,42,13,0,0
2021-08-18,2,0,43,10,0,0
2021-08-19,3,0,42,9,0,0
2021-08-20,1,0,44,8,0,0
2021-08-21,1,2,37,9,0,0
2021-08-22,1,4,37,8,0,0
2021-08-23,1,1,26,8,0,0
2021-08-24,1,0,29,7,0,0
2021-08-25,2,0,33,6,0,0
2021-08-26,2,0,30,5,0,0
2021-08-27,0,0,28,5,0,0
2021-08-28,3,2,27,6,0,0
2021-08-29,3,3,29,6,0,0
2021-08-30,1,0,24,4,0,0
2021-08-31,3,0,22,6,0,0
2021-09-01,1,0,21,6,0,0
2021-09-02,0,0,23,6,0,0
2021-09-03,2,0,23,6,0,0
2021-09-04,2,2,24,6,0,0
2021-09-05,2,3,22,6,0,0
2021-09-06,0,0,20,7,0,0
2021-09-07,6,0,23,8,0,0
2021-09-08,6,0,27,8,0,0
2021-09-09,5,0,25,8,0,0
2021-09-10,2,0,28,8,0,0
2021-09-11,5,5,33,8,0,0
2021-09-12,6,5,39,9,0,0
2021-09-13,1,2,36,10,0,0
2021-09-14,2,0,37,10,0,0
2021-09-15,3,0,33,10,0,0
2021-09-16,4,0,33,8,0,0
2021-09-17,3,0,38,7,0,0
2021-09-18,5,3,31,6,0,0
2021-09-19,4,7,33,6,0,0
2021-09-20,1,3,27,5,0,0
2021-09-21,2,0,27,4,0,0
2021-09-22,3,0,26,5,0,0
2021-09-23,5,0,27,5,0,0
2021-09-24,6,0,31,5,0,0
2021-09-25,6,7,34,5,0,0
2021-09-26,6,16,30,6,0,0
2021-09-27,3,9,29,6,0,0
2021-09-28,7,1,25,6,0,0
2021-09-29,6,0,27,8,0,0
2021-09-30,4,0,33,8,0,0
2021-10-01,0,0,40,7,0,0
2021-10-02,2,12,37,6,0,0
2021-10-03,3,14,40,6,0,0
2021-10-04,2,2,28,6,0,0
2021-10-05,7,0,30,6,0,0
2021-10-06,5,0,33,7,0,0
2021-10-07,5,0,28,6,0,0
2021-10-08,2,0,41,7,0,0
2021-10-09,4,6,44,7,0,0
2021-10-10,6,11,42,8,0,0
2021-10-11,1,1,36,7,0,0
2021-10-12,5,0,37,8,0,0
2021-10-13,9,0,38,8,0,0
2021-10-14,4,0,31,9,0,0
2021-10-15,2,0,33,9,0,0
2021-10-16,1,3,31,9,0,0
2021-10-17,3,5,29,9,0,0
2021-10-18,0,3,32,8,0,0
2021-10-19,3,0,31,9,0,0
2021-10-20,3,0,39,9,0,0
2021-10-21,6,0,41,11,0,0
2021-10-22,2,0,43,11,0,0
2021-10-23,1,4,51,10,0,0
2021-10-24,2,11,61,11,0,0
2021-10-25,3,3,65,10,0,0
2021-10-26,2,1,73,10,0,0
2021-10-27,4,0,79,10,0,0
2021-10-28,2,0,80,10,0,0
2021-10-29,2,0,90,8,0,0
2021-10-30,1,7,94,7,0,0
2021-10-31,0,8,91,7,0,0
2021-11-01,0,8,87,8,0,0
2021-11-02,1,0,70,6,0,0
2021-11-03,3,0,64,6,0,0
2021-11-04,1,0,63,7,0,0
2021-11-05,2,0,65,8,0,0
2021-11-06,7,9,62,8,0,0
2021-11-07,5,11,51,6,0,0
2021-11-08,2,2,37,6,0,0
2021-11-09,3,0,31,6,0,0
2021-11-10,6,0,33,6,0,0
2021-11-11,1,0,56,6,0,0
2021-11-12,1,0,86,6,0,0
2021-11-13,4,4,79,6,0,0
2021-11-14,2,6,74,6,0,0
2021-11-15,1,3,36,5,0,0
2021-11-16,2,0,29,5,0,0
2021-11-17,4,0,36,6,0,0
2021-11-18,6,0,39,7,0,0
2021-11-19,5,0,48,6,0,0
2021-11-20,6,14,51,6,0,0
2021-11-21,6,17,48,5,0,0
2021-11-22,0,7,43,6,0,0
2021-11-23,3,0,39,6,0,0
2021-11-24,2,0,35,6,0,0
2021-11-25,5,0,41,6,0,0
2021-11-26,5,0,57,7,0,0
2021-11-27,4,2,55,7,0,0
2021-11-28,2,4,52,7,0,0
2021-11-29,0,2,38,7,0,0
2021-11-30,1,0,29,6,0,0
2021-12-01,3,0,27,6,0,0
2021-12-02,3,0,31,5,0,0
2021-12-03,5,0,36,5,0,0
2021-12-04,7,8,46,6,0,0
2021-12-05,5,8,50,6,0,0
2021-12-06,1,3,44,7,0,0
2021-12-07,2,0,34,7,0,0
2021-12-08,7,0,37,6,0,0
2021-12-09,7,0,33,6,0,0
2021-12-10,3,0,46,4,0,0
2021-12-11,1,10,44,4,0,0
2021-12-12,3,14,44,4,0,0
2021-12-13,2,3,42,4,0,0
2021-12-14,5,0,37,4,0,0
2021-12-15,4,0,26,5,0,0
2021-12-16,2,0,25,7,0,0
2021-12-17,1,0,25,6,0,0
2021-12-18,2,0,23,8,0,0
2021-12-19,3,1,29,10,0,0
2021-12-20,1,0,38,10,0,0
2021-12-21,2,0,49,14,0,0
2021-12-22,2,0,73,16,0,0
2021-12-23,3,0,106,17,0,0
2021-12-24,1,0,155,17,0,0
2021-12-25,5,3,183,19,0,0
2021-12-26,3,4,185,19,0,0
2021-12-27,0,1,158,17,0,0
2021-12-28,3,0,133,17,0,0
2021-12-29,2,0,101,17,0,0
2021-12-30,1,0,84,16,0,0
2021-12-31,0,0,68,15,0,0
2022-01-01,2,1,61,15,0,0
2022-01-02,0,2,47,15,0,0
2022-01-03,0,2,28,9,0,0
2022-01-04,0,0,16,7,0,0
2022-01-05,1,0,18,5,0,0
2022-01-06,6,0,24,4,0,0
2022-01-07,4,0,19,2,0,0
2022-01-08,4,2,19,2,0,0
2022-01-09,1,3,22,2,0,0
2022-01-10,1,2,21,1,0,0
2022-01-11,2,0,20,1,0,0
2022-01-12,3,0,19,1,0,0
2022-01-13,2,0,15,0,0,0
2022-01-14,4,0,16,0,0,0
2022-01-15,7,5,21,0,0,0
2022-01-16,4,8,21,0,0,0
2022-01-17,2,4,18,0,0,0
2022-01-18,4,1,16,0,0,0
2022-01-19,4,0,24,0,0,0
2022-01-20,2,0,22,0,0,0
2022-01-21,5,0,25,0,0,0
2022-01-22,3,2,23,1,0,0
2022-01-23,1,2,25,1,0,0
2022-01-24,1,0,24,1,0,0
2022-01-25,3,0,29,1,0,0
2022-01-26,3,0,29,2,0,0
2022-01-27,3,0,25,2,0,0
2022-01-28,2,0,24,3,0,0
2022-01-29,4,1,26,3,0,0
2022-01-30,2,4,26,4,0,0
2022-01-31,2,3,20,5,0,0
2022-02-01,7,0,22,5,0,0
2022-02-02,0,0,19,5,0,0
2022-02-03,2,0,28,4,0,0
2022-02-04,4,0,32,4,0,0
2022-02-05,4,9,27,5,0,0
2022-02-06,2,12,28,5,0,0
2022-02-07,0,6,31,6,0,0
