date,turnover,discount,booking_fees,lead_time_hours
2021-06-01,264.0,0.0,0.0,153.6966666666666
2021-06-02,342.90000000000003,0.0,0.0,68.65237179487146
2021-06-03,209.4,0.0,0.0,124.01444444444401
2021-06-04,411.2,291.2,0.0,66.28966666666626
2021-06-05,131.2,59.2,0.0,105.82037037037001
2021-06-06,38.5,11.3,0.0,69.47916666666633
2021-06-07,180.5,0.0,0.0,431.0657407407402
2021-06-08,205.4,0.0,0.0,131.17815972222186
2021-06-09,163.1,0.0,0.0,223.14282407407381
2021-06-10,110.7,0.0,0.0,158.37249999999952
2021-06-11,588.9,242.2,0.0,83.81904513888857
2021-06-12,67.7,0.0,0.0,77.7666666666665
2021-06-13,0.0,0.0,0.0,0.0
2021-06-14,117.6,0.0,0.0,84.64046296296267
2021-06-15,203.6,0.0,0.0,80.0332638888885
2021-06-16,366.3,0.0,0.0,87.3233703703702
2021-06-17,133.1,0.0,0.0,64.43607142857114
2021-06-18,596.9,185.70000000000002,0.0,50.9212719298241
2021-06-19,94.5,62.660000000000004,0.0,271.947222222222
2021-06-20,75.30000000000001,19.1,0.0,69.15944444444433
2021-06-21,387.8,0.0,0.0,151.63787037037022
2021-06-22,204.4,0.0,0.0,273.7014197530862
2021-06-23,255.7,0.0,0.0,74.51340909090872
2021-06-24,130.1,0.0,0.0,107.5013333333334
2021-06-25,738.8,427.6,0.0,103.71905797101408
2021-06-26,102.30000000000001,29.520000000000003,0.0,25.427361111110752
2021-06-27,90.1,0.0,0.0,146.969861111111
2021-06-28,344.3,28.5,0.0,156.3481666666664
2021-06-29,179.20000000000002,19.740000000000002,0.0,117.41825396825371
2021-06-30,195.20000000000002,0.0,0.0,115.31920634920615
2021-07-01,318.8,62.809999999999995,0.0,156.67967171717146
2021-07-02,416.0,219.67000000000002,0.0,45.444545454545
2021-07-03,220.1,38.6,0.0,47.75541666666625
2021-07-04,25.1,7.53,0.0,141.026666666667
2021-07-05,335.2,12.55,0.0,53.415972222221754
2021-07-06,78.7,0.0,0.0,26.364490740740337
2021-07-07,251.7,0.0,0.0,57.830046296296
2021-07-08,37.1,0.0,0.0,73.16222222222167
2021-07-09,434.7,264.59,0.0,58.91815656565636
2021-07-10,61.6,32.3,0.0,39.672592592592004
2021-07-11,97.0,0.0,0.0,65.7908333333335
2021-07-12,269.9,0.0,0.0,171.777828282828
2021-07-13,264.6,0.0,0.0,107.38087962962949
2021-07-14,90.1,0.0,0.0,168.83569444444402
2021-07-15,130.5,0.0,0.0,305.80685185185195
2021-07-16,268.5,87.5,0.0,98.86987654320944
2021-07-17,107.4,6.4,0.0,55.9124999999995
2021-07-18,0.0,0.0,0.0,0.0
2021-07-19,65.80000000000001,0.0,0.0,276.671527777778
2021-07-20,154.1,0.0,0.0,54.2769999999996
2021-07-21,187.4,0.0,0.0,151.85351851851811
2021-07-22,233.8,58.1,0.0,76.04781746031713
2021-07-23,147.39999999999998,79.1,0.0,181.00111111111065
2021-07-24,34.8,6.96,0.0,662.7404166666676
2021-07-25,25.1,19.1,0.0,80.321666666666
2021-07-26,418.7,0.0,0.0,407.4074603174601
2021-07-27,30.4,0.0,0.0,90.915972222222
2021-07-28,95.0,0.0,0.0,18.1351388888885
2021-07-29,95.0,0.0,0.0,54.026944444444
2021-07-30,176.9,92.3,0.0,257.5803174603176
2021-07-31,84.80000000000001,38.2,0.0,23.889305555555
2021-08-01,32.9,0.0,0.0,67.6265277777775
2021-08-02,72.5,0.0,0.0,43.540462962962664
2021-08-03,210.2,0.0,0.0,137.685046296296
