date,turnover,discount,booking_fees,lead_time_hours
2021-06-01,6672.1,171.0,25.1,100.26340730676299
2021-06-02,5601.9,140.04,36.1,154.0391923570967
2021-06-03,6409.8,207.81,51.3,124.98649210686064
2021-06-04,14215.1,1048.7,139.9,151.52481093979412
2021-06-05,5812.1,355.23,53.0,170.62081417624492
2021-06-06,3186.1,48.29,45.0,138.55718954248337
2021-06-07,7512.9,202.01999999999998,114.5,147.98132051282022
2021-06-08,7209.6,207.68,103.5,157.80757575757553
2021-06-09,7433.4,336.38,119.5,184.54320821854884
2021-06-10,8731.8,375.3,81.7,136.2513007246374
2021-06-11,17002.6,985.5600000000001,204.6,153.54998838191773
2021-06-12,7784.3,382.38,122.1,161.87968589743556
2021-06-13,4590.8,99.39,62.1,161.61460813492036
2021-06-14,9482.6,352.14,137.0,145.05582542908732
2021-06-15,7721.2,198.66,104.5,146.79668165052996
2021-06-16,9099.9,282.44,156.5,156.97917274939147
2021-06-17,9875.1,418.38,169.5,170.48701190476163
2021-06-18,19506.0,1102.53,249.3,160.11603473358764
2021-06-19,7974.2,329.94,86.6,212.10082512892612
2021-06-20,5198.7,181.76000000000002,82.0,152.606639515455
2021-06-21,11163.7,439.38,160.0,165.69071613141355
2021-06-22,9313.2,283.17,133.1,185.15412422839483
2021-06-23,10244.2,447.17,155.0,162.60607375478898
2021-06-24,10703.3,434.97,155.0,198.99941623931593
2021-06-25,17167.8,1124.28,208.6,193.12802933177906
2021-06-26,7105.6,330.54,102.5,200.91522633744827
2021-06-27,5567.4,123.99,78.5,187.71527976190444
2021-06-28,12001.5,852.13,184.7,156.22015499825815
2021-06-29,8064.7,972.75,90.0,125.88574284511759
2021-06-30,9127.8,615.83,99.2,165.58538113695064
2021-07-01,9812.0,772.46,169.2,174.00400584795298
2021-07-02,18435.02,1830.54,178.3,177.67989514014894
2021-07-03,8853.0,813.58,77.1,180.28527458492948
2021-07-04,6444.92,529.42,95.6,199.73239444444425
2021-07-05,12660.8,1021.79,212.6,142.00292136752108
2021-07-06,11855.52,832.57,245.5,161.10992857142827
2021-07-07,10021.5,681.19,167.0,178.16626411657526
2021-07-08,9666.8,668.1,143.6,157.83403472222193
2021-07-09,17388.94,1747.98,200.1,190.29894511244692
2021-07-10,12168.7,1148.45,149.6,235.46029533844157
2021-07-11,9007.02,734.75,91.5,172.39841831557555
2021-07-12,9332.2,792.03,222.6,172.65038120567354
2021-07-13,9129.0,741.49,143.5,193.51834727584705
2021-07-14,10114.9,760.72,127.0,179.39385456885427
2021-07-15,9877.12,668.58,127.1,185.9220823552423
2021-07-16,14378.2,1305.68,170.1,182.39981075966446
2021-07-17,9714.7,839.92,140.2,214.81401823579276
2021-07-18,6987.4,589.68,97.3,199.5340268456373
2021-07-19,13957.05,1047.21,230.1,231.1681385501352
2021-07-20,11066.94,947.74,158.6,202.45880297823572
2021-07-21,9423.95,820.16,169.0,149.56396909233143
2021-07-22,9707.25,803.95,137.0,181.36907685881351
2021-07-23,13177.8,1320.07,164.0,183.90475953565476
2021-07-24,9935.45,1146.35,142.7,226.4865740740738
2021-07-25,7746.6,669.75,132.0,233.5565558676652
2021-07-26,10591.3,853.98,154.1,227.24227843915318
2021-07-27,10171.55,1045.32,141.5,221.50126543209848
2021-07-28,7203.65,570.62,121.1,176.01860973597337
2021-07-29,7656.55,712.89,94.6,228.8127090492551
2021-07-30,11034.4,1467.98,117.0,195.29663639601105
2021-07-31,9892.5,1009.67,97.3,190.3161224489793
2021-08-01,8655.65,844.77,112.0,272.8450357374916
2021-08-02,11969.6,1060.45,170.5,337.6557938121045
2021-08-03,8462.35,734.85,140.0,189.73541469194282
2021-08-04,7057.35,596.14,158.5,224.05903517422715
2021-08-05,8370.15,848.28,144.0,238.39418848167517
2021-08-06,12084.0,1402.9,207.5,161.30725848994365
2021-08-07,8087.45,867.83,68.0,312.76939054726336
2021-08-08,9285.75,864.86,111.0,249.20028238182917
2021-08-09,12189.6,961.5,194.0,252.57894138232703
2021-08-10,10201.45,1019.35,104.5,201.8715624999997
2021-08-11,7364.35,741.7,156.5,207.8805891812862
2021-08-12,7978.9,867.03,130.0,207.41176660787744
2021-08-13,12302.95,1393.86,212.2,211.5041609138721
2021-08-14,6834.15,764.21,58.5,188.31934108527102
2021-08-15,9053.4,1069.74,114.2,182.03385161135134
2021-08-16,10641.75,932.69,173.7,291.5680710491366
2021-08-17,8032.75,681.41,123.5,231.3237246852762
