,date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
0,2021-06-01,1,0,3,0
1,2021-06-02,3,0,1,0
2,2021-06-03,3,0,1,0
3,2021-06-04,3,0,1,0
4,2021-06-05,2,0,3,0
5,2021-06-06,5,0,0,0
6,2021-06-07,2,0,1,0
7,2021-06-08,2,0,0,1
8,2021-06-09,2,0,1,0
9,2021-06-10,3,0,0,0
10,2021-06-11,1,0,8,0
11,2021-06-12,8,0,1,0
12,2021-06-13,8,0,1,0
13,2021-06-14,4,0,0,0
14,2021-06-15,3,0,0,0
15,2021-06-16,3,0,0,0
16,2021-06-17,2,0,0,0
17,2021-06-18,2,0,7,1
18,2021-06-19,9,1,1,0
19,2021-06-20,8,1,1,0
20,2021-06-21,5,1,1,0
21,2021-06-22,4,1,2,0
22,2021-06-23,5,1,1,0
23,2021-06-24,3,0,0,0
24,2021-06-25,2,0,2,0
25,2021-06-26,4,0,3,0
26,2021-06-27,6,0,2,0
27,2021-06-28,6,0,1,0
28,2021-06-29,3,0,2,0
29,2021-06-30,4,0,1,0
30,2021-07-01,5,0,3,1
31,2021-07-02,6,0,4,1
32,2021-07-03,7,1,2,0
33,2021-07-04,5,1,0,0
34,2021-07-05,1,0,3,0
35,2021-07-06,4,0,3,1
36,2021-07-07,7,1,4,1
37,2021-07-08,7,1,0,0
38,2021-07-09,3,0,8,1
39,2021-07-10,8,1,3,0
40,2021-07-11,7,1,0,0
41,2021-07-12,4,0,0,0
42,2021-07-13,2,0,2,0
43,2021-07-14,1,0,0,0
44,2021-07-15,1,0,3,0
45,2021-07-16,3,0,2,0
46,2021-07-17,4,0,1,1
47,2021-07-18,5,1,4,0
48,2021-07-19,6,1,1,0
49,2021-07-20,5,0,2,0
50,2021-07-21,6,0,0,0
51,2021-07-22,4,0,0,0
52,2021-07-23,3,0,7,0
53,2021-07-24,8,0,3,1
54,2021-07-25,10,1,5,0
55,2021-07-26,6,1,5,0
56,2021-07-27,6,1,3,0
57,2021-07-28,6,1,2,0
58,2021-07-29,7,1,0,0
59,2021-07-30,5,1,8,0
60,2021-07-31,11,1,4,0
61,2021-08-01,12,1,1,0
62,2021-08-02,4,0,6,1
63,2021-08-03,7,1,2,0
64,2021-08-04,9,1,3,0
65,2021-08-05,10,0,0,0
66,2021-08-06,6,0,4,0
67,2021-08-07,7,0,3,1
68,2021-08-08,6,1,3,1
69,2021-08-09,6,2,3,0
70,2021-08-10,8,2,7,0
71,2021-08-11,13,2,3,1
72,2021-08-12,12,3,1,0
73,2021-08-13,9,1,4,0
74,2021-08-14,9,0,2,0
75,2021-08-15,10,0,1,1
76,2021-08-16,7,1,1,0
77,2021-08-17,5,1,1,0
78,2021-08-18,6,1,3,0
79,2021-08-19,6,1,2,0
80,2021-08-20,6,1,4,0
81,2021-08-21,9,1,1,0
82,2021-08-22,9,0,1,0
83,2021-08-23,5,0,3,0
84,2021-08-24,6,0,1,0
85,2021-08-25,4,0,1,0
86,2021-08-26,5,0,2,0
87,2021-08-27,5,0,3,1
88,2021-08-28,7,1,2,0
89,2021-08-29,7,1,1,0
90,2021-08-30,4,0,1,0
91,2021-08-31,2,0,2,0
92,2021-09-01,1,0,1,0
93,2021-09-02,2,0,0,0
94,2021-09-03,2,0,6,0
95,2021-09-04,7,0,2,0
96,2021-09-05,9,0,2,0
97,2021-09-06,6,0,2,0
98,2021-09-07,3,0,2,0
99,2021-09-08,2,0,0,0
100,2021-09-09,2,0,3,0
101,2021-09-10,3,0,8,0
102,2021-09-11,9,0,4,0
103,2021-09-12,10,0,4,0
104,2021-09-13,8,0,2,0
105,2021-09-14,7,0,1,0
106,2021-09-15,6,0,3,1
107,2021-09-16,6,1,2,0
108,2021-09-17,3,0,2,1
109,2021-09-18,4,1,3,0
110,2021-09-19,7,1,1,0
111,2021-09-20,3,0,2,1
112,2021-09-21,5,1,0,0
113,2021-09-22,2,1,0,0
114,2021-09-23,2,1,3,0
115,2021-09-24,3,0,3,1
116,2021-09-25,4,1,1,1
117,2021-09-26,5,2,0,0
118,2021-09-27,3,1,1,0
119,2021-09-28,2,0,3,0
120,2021-09-29,3,0,1,0
121,2021-09-30,1,0,3,0
122,2021-10-01,2,0,5,0
123,2021-10-02,5,0,1,0
124,2021-10-03,6,0,1,0
125,2021-10-04,2,0,0,0
126,2021-10-05,1,0,1,0
127,2021-10-06,1,0,3,0
128,2021-10-07,2,0,3,0
129,2021-10-08,3,0,4,0
130,2021-10-09,6,0,0,0
131,2021-10-10,6,0,0,0
132,2021-10-11,3,0,2,0
133,2021-10-12,2,0,2,1
134,2021-10-13,3,0,1,0
135,2021-10-14,2,0,2,0
136,2021-10-15,3,0,5,1
137,2021-10-16,7,1,3,0
138,2021-10-17,9,1,1,0
139,2021-10-18,3,1,2,0
